Brand,Model name,Sensor size,Effective megapixels,Lens mount,Viewfinder type,,Metering zones,Focus points,Lowest ISO,Highest ISO,,<ref>ISO value  at which the noise starts to disturb the photo. Unit: ISO. More at DxOMark - Use Case Scores</ref>,,,Live view,Movie mode,,Video,,Weight (g)<ref>Data taken from specification pages of Digital Photography Review review pages (usually page #2 of given camera review)  e.g. here for a Nikon D3000</ref>,Announced (date),In production,Reference
Canon,650D,APS-C,18.0,EF  EF-S,Pentamirror,95,63,9,100,25600,62,722,5.0,3,yes,yes,SD,,134x100x79,575,,no,http://www.dxomark.com/index.php/en/Camera-Sensor/All-tested-sensors/Canon/EOS-650Dhttp://www.usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_rebel_t4i_18_135mm_kit#Specifications
Canon,600D,APS-C,18.0,EF  EF-S,Pentamirror,95,63,9,100,12800,65,793,3.7,3,yes,yes,SD,,133x100x80,515 (without battery),,yes,http://www.dxomark.com/index.php/en/Cameras/Camera-Sensor-Database/Canon/EOS-600Dhttp://www.usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_rebel_t3i_ef_s_18_55mm_is_kit#Specifications
Canon,550D,APS-C,18.0,EF  EF-S,Pentamirror,95,63,9,100,12800,66,784,3.7,3,yes,yes,SD,,129x98x75,530,,no,http://www.dxomark.com/index.php/en/Camera-Sensor/All-tested-sensors/Canon/EOS-550Dhttp://www.usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_rebel_t2i_ef_s_18_55mm_is_kit#Specifications
Canon,500D,APS-C,15.1,EF  EF-S,Pentamirror,95,35,9,100,12800,63,663,3.4,3,yes,yes,SD,,129x98x62,480 (without battery),,no,http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Canon/EOS-500Dhttp://usa.canon.com/cusa/support/consumer/eos_slr_camera_systems/eos_digital_slr_cameras/eos_rebel_t1i#Specifications
Canon,450D,APS-C,12.2,EF  EF-S,Pentamirror,95,35,9,100,1600,61,692,3.5,3,yes,no,SD,,129x98x62,475 (without battery),,no
Canon,400D,APS-C,10.1,EF  EF-S,Pentamirror,95,35,9,100,1600,62,664,3,2.5,no,no,CF,,127x95x65,510 (without battery),,no
Canon,350D,APS-C,8.0,EF  EF-S,Pentamirror,95,35,7,100,1600,60,637,2.8,1.8,no,no,CF,,127x94x64,540 (485 without battery),,no
Canon,300D,APS-C,6.3,EF  EF-S,Pentamirror,95,35,7,100,1600,55,544,2.5,1.8,no,no,CF,,142x99x72,694 (560 without battery),,no
Canon,100D,APS-C,18.0,EF  EF-S,Pentamirror,95,63,9,100,25600,63,843,4,3,yes,yes,SD,,117x91x69,407 (370 without battery),,yes,http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Canon/EOS-100D http://usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_rebel_sl1_18_55mm_is_stm_lens_kit#Specifications
Canon,1200D,APS-C,18.0,EF  EF-S,Pentamirror,95,63,9,100,12800,63,724,3.0,3,yes,yes,SD,,130x100x78,480 (435 without battery),,yes,http://www.dxomark.com/index.php/en/Cameras/Camera-Sensor-Database/Canon/EOS-1200Dhttp://www.usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_rebel_t5_18_55_is_ii_kit#Specifications
Canon,1100D,APS-C,12.2,EF  EF-S,Pentamirror,95,63,9,100,6400,62,755,3,2.7,yes,yes,SD,,130x100x78,495,,yes,http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Canon/EOS-1100Dhttp://www.usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_rebel_t3_18_55mm_is_ii_kit#Specifications
Canon,1000D,APS-C,10.1,EF  EF-S,Pentamirror,95,35,7,100,1600,62,719,3,2.5,yes,no,SD,,126x98x62,502,,no,http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Canon/EOS-1000Dhttp://www.usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_rebel_xs_18_55is_kit#Specifications
Nikon,D5,Full frame,20.8,F-mount,Pentaprism,100,180000,153,50,3280000,88,2434,12,3.2,yes,yes,,,160x158.5x92,1405(with battery),,yes,
Nikon,D4,Full frame,16.2,F-mount,Pentaprism,100,91000,51,50,204800,89,2965,11,3.2,yes,yes,CF + XQD,,160x157x91,1180 (without battery),,yes,http://www.dxomark.com/index.php/Publications/DxOMark-Reviews/Nikon-D4-review/Sensor-performance http://www.nikonusa.com/Nikon-Products/Product/Digital-SLR-Cameras/25482/D4.html#tab-ProductDetail-ProductTabs-TechSpecs
Nikon,D3X,Full frame,24.4,F-mount,Pentaprism,100,1005,51,50,6400,88,1992,5,3,yes,no,CF (2x),,160x157x88,1220,,yes,http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Nikon/D3Xhttp://www.nikonusa.com/Find-Your-Nikon/Product/Digital-SLR/25442/D3X.html
Nikon,D3S,Full frame,12.1,F-mount,Pentaprism,100,1005,51,100,102400,82,3253,9,3,yes,yes,CF (2x),,160x157x88,1246,,no,http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Nikon/D3shttp://www.nikonusa.com/Find-Your-Nikon/Product/Digital-SLR/25466/D3S.html
Nikon,D800,Full frame,36.3,F-mount,Pentaprism,100,91000,51,50,25600,,,4,3.2,yes,yes,CF + SD,,145x122x82,900 (without battery),,yes,http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Nikon/D800 http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Nikon/D800E http://www.nikonusa.com/Nikon-Products/Product/Digital-SLR-Cameras/25480/D800.html#tab-ProductDetail-ProductTabs-TechSpecs
Nikon,D850,Full Frame,45.7,F-mount,Pentaprism,100,180000,153,64,25600,100,2660,,3.2,,,,,,,,,https://www.dxomark.com/Cameras/Nikon/D850
Nikon,D700,Full frame,12.1,F-mount,Pentaprism,95,1005,51,100,25600,80,2303,5,3,yes,no,CF,,147x123x77,995,,no,http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Nikon/D700http://www.nikonusa.com/Find-Your-Nikon/Product/Digital-SLR/25444/D700.html
Nikon,D600,Full frame,24.3,F-mount,Pentaprism,100,2016,39,50,25600,94,2980,5.5,3.2,yes,yes,SD (x2),,141x113x82,760 (w/o battery),,yes,http://www.nikonusa.com/Nikon-Products/Product/Digital-SLR-Cameras/25488/D600.html http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Nikon/D600
Nikon,D300S,APS-C,12.3,F-mount,Pentaprism,100,1005,51,100,6400,70,787,6,3,yes,yes,CF+SD,,147x114x74,918,,yes,http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Nikon/D300shttp://www.nikonusa.com/Find-Your-Nikon/Product/Digital-SLR/25464/D300S.html
Nikon,D7000,APS-C,16.2,F-mount,Pentaprism,100,2016,39,100,25600,80,1167,6,3,yes,yes,SD (x2),,132x105x77,690 (without battery),,yes,http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Nikon/D7000
Nikon,D90,APS-C,12.3,F-mount,Pentaprism,96,420,11,100,6400,73,977,4.5,3,yes,yes,SD,,132x103x77,620 (without battery),,no,http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Nikon/D90http://www.nikonusa.com/Find-Your-Nikon/Product/Digital-SLR/25446/D90.html
Nikon,D5100,APS-C,16.2,F-mount,Pentamirror,95,420,11,100,25600,80,1183,4,3,yes,yes,SD,,127x97x79,560 (without battery),,yes,http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Nikon/D5100http://www.nikonusa.com/Nikon-Products/Product/Digital-SLR-Cameras/25478/D5100.html
Nikon,D5000,APS-C,12.3,F-mount,Pentamirror,95,420,11,100,6400,72,868,4,2.7,yes,yes,SD,,127x104x80,560 (without battery),,no,http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Nikon/D5000http://www.nikonusa.com/Find-Your-Nikon/Product/Digital-SLR/25452/D5000.html
Nikon,D3200,APS-C,24.2,F-mount,Pentamirror,95,420,11,100,12800,81,1131,4,3,yes,yes,SD,,125x96x79,505,,yes,http://www.dxomark.com/index.php/Publications/DxOMark-Reviews/Nikon-D3200-Review/Sensor-performance http://www.nikonusa.com/Nikon-Products/Product/Digital-SLR-Cameras/25492/D3200.html
