Implementation,sect163k1 (1)<ref name="rfc4492"/>,sect163r1 (2)<ref name="rfc4492"/>,sect163r2 (3)<ref name="rfc4492"/>,sect193r1 (4)<ref name="rfc4492"/>,sect193r2 (5)<ref name="rfc4492"/>,sect233k1 (6)<ref name="rfc4492"/>,sect233r1 (7)<ref name="rfc4492"/>,sect239k1 (8)<ref name="rfc4492"/>,sect283k1 (9)<ref name="rfc4492"/>,sect283r1 (10)<ref name="rfc4492"/>,sect409k1 (11)<ref name="rfc4492"/>,sect409r1 (12)<ref name="rfc4492"/>,sect571k1 (13)<ref name="rfc4492"/>,sect571r1 (14)<ref name="rfc4492"/>
BearSSL<ref name="bearssl-ec"></ref>,,,,,,,,,,,,,,
Botan,,,,,,,,,,,,,,
BoringSSL,,,,,,,,,,,,,,
CryptoComply,,,,,,,,,,,,,,
GnuTLS,,,,,,,,,,,,,,
JSSE,,,,,,,,,,,,,,
LibreSSL,,,,,,,,,,,,,,
MatrixSSL,,,,,,,,,,,,,,
mbed TLS,,,,,,,,,,,,,,
NSS,,,,,,,,,,,,,,
OpenSSL,,,,,,,,,,,,,,
RomSTL,,,,,,,,,,,,,,
RSA BSAFE,,,,,,,,,,,,,,
rustls,,,,,,,,,,,,,,
SChannel Vista/2008  7/2008R2  8/2012  8.1/2012R2  10,,,,,,,,,,,,,,
Secure Transport,,,,,,,,,,,,,,
wolfSSL,,,,,,,,,,,,,,
Erlang/OTP SSL application,,,,,,,,,,,,,,
Implementation,sect163k1 (1)<ref name="rfc4492"/>,sect163r1 (2)<ref name="rfc4492"/>,sect163r2 (3)<ref name="rfc4492"/>,sect193r1 (4)<ref name="rfc4492"/>,sect193r2 (5)<ref name="rfc4492"/>,sect233k1 (6)<ref name="rfc4492"/>,sect233r1 (7)<ref name="rfc4492"/>,sect239k1 (8)<ref name="rfc4492"/>,sect283k1 (9)<ref name="rfc4492"/>,sect283r1 (10)<ref name="rfc4492"/>,sect409k1 (11)<ref name="rfc4492"/>,sect409r1 (12)<ref name="rfc4492"/>,sect571k1 (13)<ref name="rfc4492"/>,sect571r1 (14)<ref name="rfc4492"/>
