+Browser
Feature
Default web browser/engine
Major web browser available
Browser extensions
Browser direct Internet connection (increased resilience to outages)
Browser undo close tab
Browser keeps windows open on shutdown or crash
Browser keeps windows open when cleaning cookies
Browser search engine options
Browser find on page
Browser/email save images
Browser/email save PDFs
Browser save audio/video
Browser save page
Browser save any file
Browser force enable zoom
Browser text reflow<ref>Browser Text Reflow – WP7 Internet Explorer vs Android . Youtube.com (2011-12-07). Retrieved on 2012-07-03.</ref>
Browser Reader Mode
Browser file upload
Browser form navigation
Browser private browsing mode
Offline web apps
HTTP Live Streaming
WebRTC
[added]
