Roxio Creator<ref name="Roxio Creator" />,,,,,,{{?}},ISO  C2D  BIN/CUE  GI,ISO  GI,Windows,
Roxio Toast<ref name="Roxio Toast" />,,,,,,{{?}},ISO  BIN/CUE  IMG  DMG  CDR  NRG,,Mac OS X,
UltraISO,,,,,,{{?}},BIN/CUE  BWI/BWT/B5T/B5I/B6T/B6I  C2D  CDI  CIF  DAA  DMG  FCD  G2D  GCD/GI  IMA  IMG/CCD  IML  ISO/ISZ  LCD  MDF/MDS  NCD  NRG  P01/MD1/XA  PDI  PXI  TAO/DAO  UIF  VaporCD  VC4/000  VCD  VDI  XMD/XMF <ref>http://www.ezbsystems.com/ultraiso/history.htm</ref>,BIN/CUE  CCD/IMG/SUB  ISO/ISZ  MDF/MDS  NRG,Windows
Virtual CloneDrive,,,,,,{{?}},ISO  BIN  IMG  UDF  DVD  CCD,,Windows,
Virtual CD-ROM Control Panel,,,,,,{{?}},ISO,,Windows,
VirtualDrive Pro,,,,,,{{?}},,,Windows,
WADK,,,,,,{{?}},WIM  WSM,WIM  WSM,Windows NT,
WinCDEmu,,,,,,{{?}},ISO  BIN  NRG  MDS/MDF  CCD  IMG,,Windows,
Windows Explorer,,?,,,{?,{{?}},url = https://blogs.msdn.microsoft.com/b8/2011/08/30/accessing-data-in-iso-and-vhd-files/|website = blogs.msdn.microsoft.com|access-date = 2016-02-21}}</ref> VHD<ref></ref>,VHD,Windows NT,
WinRAR,,,,,,{{?}},ISO,,Windows,
WinZip,,,,,,{{?}},ISO,,Windows,
Software,Creates?,Modifies?,Mounts?,Restores?,Extracts?,,Input?,Output?,OS,License,
