Graphics,Launch,Market,Chipset,Code name,Device id.<ref name="xf86-video-intel" />,Core render<br />clock (MHz),Pixel <br />pipelines,Shader model<br />(vertex/pixel),API support<ref name="mesa/mesa/src/mesa/drivers/dri/i915/intel_extensions.c" />,Memory bandwidth <br />(GB/s),DVMT <br />(MiB),Hardware acceleration
Direct3D,OpenGL,OpenCL,MPEG-2,VC-1,AVC,[added],[added],[added],[added],[added],[added],[added]
Extreme Graphics,2002,Desktop,845G<br />845GL<br />845GV,Brookdale,2562,200,2,3.0 (SW) / No,6.0 (full)<br />9.0 (some features  no hardware shaders),1.3 <br /> ES 1.1Linux,rowspan=6,2.1
2001,Mobile,830M<br />830MG,Almador,3577,166<ref>Intel® 830 Chipset Family: 82830 Graphics and Memory Controller Hub (GMCH-M) Datasheet  Order Number 298338-003  January 2002 (section 5.8 "Clocking")</ref>,1,[added],[added],[added],[added],[added],[added]
Extreme Graphics 2,2003,Desktop,865G<br />865GV,Springdale,2572,266,6.4,[added],[added],[added],[added],[added]
Mobile,852GM<br />852GME<br />852GMV,Montara,3582,133–266,2.1–2.7,[added],[added],[added],[added],[added],[added],[added]
854,358E,[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
855GM <br /> 855GME,3582,[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
