Name,MP3,FairPlay,ALAC,AAC,WMA-DRM,WMA Lossless,WMA,WAV,Audible,Ogg Vorbis,FLAC,Others
Archos 105,,,,,,,,,,,,
Archos 405,,,,No<ref name="Archos" />,,,,,,,,AC3<ref name="Archos" />
Archos 5,,,,No<ref name="Archos" />,,,,,,,,AC3<ref name="Archos" />
Archos 605 WiFi / GPS,,,,No<ref name="Archos" />,,,,,,,,AC3<ref name="Archos" />
Archos 705 WiFi,,,,No<ref name="Archos" />,,,,,,,,AC3<ref name="Archos" />
Cowon A3,,,,,,,,,,,,
Cowon D2,,,,,,,,,,,,
Cowon Q5W,,,,,,,,,,,,
Gigabeat T-Series,,,,,,,,,,,,
GP2X F-200,,,,,,,No<ref name="Wmvplayer">Wmvplayer is a third-party plug-in that supports these formats.</ref>,,,,No<ref name="FFPlay">FFPlay is a third-party plug-in that supports these formats.</ref>,APE  MP2  MPC <ref name="FFPlay" /> TTA  WV<ref>OldPlay is a third-party plug-in that supports these formats.</ref>
iPod,,,,,,,,,,,,
iriver clix 2G,,,,,,,,,,,,
PSP Slim & Lite,,,,,,,,,,,,
Samsung Galaxy Player,,,,,,,,,,,,
Samsung T10,,,,,,,,,,,,
Samsung P2,,,,,,,,,,,,
Sansa Fuze,,,,,,,,,,,,
Sansa Fuze+,,,,,,,,,,,,
Walkman NWZ-A810 series,,,,,,,,,,,,
ZEN,,,,,,,,,,,,
ZEN Vision W,,,,,,No<ref name="WMA">Playable when converted to standard WMA on Creative Audio Converter from MediaSource.</ref>,,,,,,
Zune,,,,,,,,,,,,
ZVUE 260,,,,,,,,,,,,
,MP3,AAC-DRM,ALAC,AAC,WMA-DRM,WMA Lossless,WMA,WAV,Audible,Ogg Vorbis,FLAC,Others
