+ Sortable table
Name,Founded year,Latest stable version,Release year,License,Online,Windows,Mac OS X,Linux,BSD,Programming language,SDK?,Languages,Fonts,Output Formats,Notes
Tesseract,1985,4.0.0,2018,,,,,,,C++  C,,100+<ref>Based on count of language training files for version 3.04. Available at the download page.</ref>,Any printed font,Text  hOCR <ref>Usage explained in the Tesseract Readme and FAQ</ref> PDF  others with different user interfaces<ref>Such as ODF with OCRFeeder</ref> or the API,Created by Hewlett-Packard; under further development by Google<ref></ref>
Readiris,1986,16,,,,,,,,,,100+<ref>http://www.irislink.com/EN-GB/c1462/Readiris-16-for-Windows---OCR-Software.aspx</ref>,,,Owned by Canon
CIB ocr <ref></ref>,2011,2.08.00,2018,Freeware,<ref></ref>,,,,,C++  Java  Python  Objective-C,,German  English  Spanish  Russian  Chinese  Japanese  Italian  French,Any printed font,Text  hOCR  PDF,CIB ocr supports more than 160 input formats
Screenworm,2013,1.0,2014,,,,,,,Objective-C++,,57,,TXT,Product of Funchip. Uses the Tesseract OCR-engine.
ExperVision<ref name="ExperVision-default"></ref> TypeReader & RTK,1987,7.1.170.1125,2010,,,,,,,C/C++,,21,2618,,Has a Mobile and Embedded System version for iOS/Android/etc.
AliusDoc AD-SCI<ref></ref>,2005,2.1,2015,,,,,,,VB.Net,For Extensions,All ASCII-compatible languages,,XML  PlainText  any other thru SDK extensions,Minimal need for post-sale Professional Services. Works with structured  semi-structured  and unstructured documents.
ABBYY FineReader,1989,14,2017-01-25,,,,,,,C/C++,,192<ref></ref>,,DOC  DOCX  XLS  XLSX  PPTX  RTF  PDF  HTML  CSV  TXT  ODT  DjVu  EPUB  FB2<ref></ref>,ABBYY also supplies SDKs for embedded and mobile devices. Professional  Corporate and Site License Editions for Windows  Express Edition for Mac.<ref></ref>
E-aksharayan,2010,,,,,,,,,,,14,,RTF  TXT  BRL,
Asprise OCR SDK,1998,15,2015,,,,,,,Java  C# VB.NET  C/C++/Delphi,,20+<ref></ref>,,Plain text  searchable PDF  XML<ref></ref>,Java  C#  VB.NET  C/C++/Delphi SDKs for OCR and Barcode recognition on Windows  Linux  Mac OS X and Unix.<ref></ref>
Nicomsoft OCR SDK,1999,5.5,2015,,,,,,,C#  VB.NET  C++  Delphi  Java,,25+<ref></ref>,,Searchable PDF  Text  RTF,C#  VB.NET  C++  Delphi  Java OCR tool for Windows and Linux.<ref></ref>
AnyDoc Software,1989,,,,,,,,,VBScript,,,,,Works with structured  semi-structured  and unstructured documents.
LEADTOOLS<ref name="leadtools-default"></ref>,1990<ref name="leadtools-corporate"></ref>,19.0,2014,,,,,,,C/C++  .NET  Objective-C  Java  JavaScript,,56<ref></ref>,Any printed font,PDF  PDF/A  DOC  DOCX  XLS  XPS  RTF  HTML  ANSI Text  Unicode Text  CSV<ref></ref>,Supports Latin  Asian  Arabic  and MICR character sets.<ref name="leadtools-default"/> For full page  zonal  and form image processing. Includes OCR  barcode  OMR and forms recognition.<ref></ref> ICR (handwritten text recognition) is supported.<ref></ref>
