[empty],Standalone executables creation support,Symbolic computation support,OOP support,GUI creation support,Multi-dimensional arrays as primitive data type,Centralized extension library website,Can call code in other languages,Can be called from other languages
Analytica,[empty],[empty],[empty],[empty],[empty],[empty],COM  Excel,Excel  COM  .NET
Dyalog APL,<ref></ref>,[empty],<ref></ref>,Win32  .NET  WPF  HTML/JS,[empty],[empty],COM  .NET  WebServices  Shared Libraries  DLLs  NAG  R  JavaScript<ref name="Dyalog APL Interface Guide"></ref>,COM  .NET  WebServices<ref name="Dyalog APL Interface Guide"/>
GNU Data Language,[empty],[empty],[empty],GUI Widgets since v.0.9 but still incomplete,[empty],[empty],C  Python,Python
GNU MCSim,[empty],[empty],[empty],XMCSim with TCL/TK and wish,[empty],[empty],C,R
GNU Octave,with mkoctfile,only with GiNaC extension,<ref></ref>,<ref></ref>,[empty],<ref></ref>,C++  Fortran <ref></ref> Perl <ref name="OctavePerl"/> Tcl<ref></ref>,Java <ref></ref> Perl <ref name="OctavePerl"></ref> C++<ref></ref>
J,[empty],[empty],[empty],[empty],[empty],[empty],JavaScript,JavaScript
Maple,[empty],[empty],<ref></ref>,[empty],[empty],<ref></ref>,C  C#  Fortran,MATLAB <ref></ref> Excel <ref></ref> VisualBasic  Java  and C<ref></ref>
MLAB,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
PDL,<ref></ref>,[empty],<ref></ref>,<ref></ref>,[empty],<ref></ref>,C via perlXS; C  Python  F77  etc. via Inline,Perl  C<ref></ref>
SageMath,[empty],[empty],[empty],[empty],[empty],<ref></ref>,Many languages<ref></ref><ref></ref><ref></ref>,(any language that can call Python)
TK Solver,[empty],[empty],[empty],[empty],[empty],[empty],.NET Excel,Unknown
