Calculator,CPU,RAM,Display Size,Physical Size (inches),Programming Languages,Link Ports,Year Released,Predecessors,Successors,Initial MSRP (nominal US$)<ref name=":0">http://www.datamath.org/</ref>
Zilog Z80 @ 6MHz,25KB of RAM  512KB of Flash ROM,96×64 pixels 16×8 characters,7.3 × 3.5 × 1.0<ref></ref>,TI-BASIC  Assembly (via Mallard)  Flash Apps,I/O Port,1998/2003,TI-80,None,95 (TI-73),Allowed
980 kHz Proprietary,7 KB of RAM,64×48 pixels 16×8 characters,6.4 × 3.0 × 0.9<ref></ref>,TI-BASIC,None,1995,None,TI-73  TI-73 Explorer,Discontinued,Allowed
Zilog Z80 @ 2 MHz,2.4 KB of RAM,96×64 pixels 16×8 characters,6.75 x 3.125 x 2.0,TI-BASIC  Machine code (using an exploit and only on ROM 1.8K),None,1990,None,TI-82,110 Discontinued,Allowed
Zilog Z80 @ 6 MHz,28 KB of RAM,96×64 pixels 16×8 characters,6.9 × 3.4 × 1.0<ref></ref>,TI-BASIC  Assembly (using exploits),I/O Port,1993,TI-81,TI-83,Discontinued,Allowed
<br /> TI-83,Zilog Z80 @ 6 MHz,32 KB of RAM,96×64 pixels 16×8 characters,7.3 × 3.5 × 1.0<ref></ref>,TI-BASIC  Assembly (built-in),I/O Port,1996,TI-82,TI-83 Plus,125 Discontinued,Allowed
<br /> TI-83 Plus,Zilog Z80 @ 6 MHz,32 KB of RAM (24 KB user accessible)  512 KB of Flash ROM (160 KB user accessible),96×64 pixels 16×8 characters,7.3 × 3.5 × 1.0<ref></ref>,TI-BASIC  Assembly (built-in)  Flash Apps,I/O Port,1999,TI-83,TI-83 Plus Silver Edition  TI-84 Plus,104.99,Allowed
Zilog Z80 @ 6 MHz/15 MHz (Dual Speed),128 KB of RAM (24 KB user accessible)  2 MB of Flash ROM (1.5 MB user accessible),96×64 pixels 16×8 characters,7.3 × 3.5 × 1.0<ref></ref>,TI-BASIC  Assembly (built-in)  Flash Apps,I/O Port,2001,TI-83 Plus,TI-84 Plus Silver Edition,129.95 Discontinued,Allowed
Zilog Z80 @ 15 MHz,128/48 KB of RAM (24 KB user accessible)  1 MB of Flash ROM (480 KB user accessible),96×64 pixels 16×8 characters,Unknown,TI-BASIC  Assembly (built-in)  Flash Apps,I/O Port  Mini-USB Port,2004,TI-83 Plus,TI-84 Plus Silver Edition  TI-Nspire,,Allowed
Zilog Z80 @ 15 MHz,128/48 KB of RAM (24 KB user accessible)  2 MB of Flash ROM (1.5 MB user accessible),96×64 pixels 16×8 characters,Unknown,TI-BASIC  Assembly (built-in)  Flash Apps,I/O Port  Mini-USB Port,2004,TI-83 Plus Silver Edition  TI-84 Plus,TI-Nspire  TI-84 Plus C Silver Edition,,Allowed
Zilog Z80 @ 15 MHz,128 KB of RAM (21 KB user accessible)  4 MB of Flash ROM (3.5 MB user accessible),320×240 pixels 26×10 characters (large font),Unknown,TI-BASIC  Assembly (built-in)  Flash Apps,I/O Port  Mini-USB Port,2013,TI-84 Plus Silver Edition,TI-84 Plus CE,150 Discontinued,Allowed
Zilog eZ80 @ 48 MHz,256 KB of RAM (154 KB user accessible)  4 MB of Flash ROM (3 MB user accessible),320×240 pixels 26×10 characters (large font),7.6 × 3.4 × 0.75,TI-BASIC  Assembly (built-in),Mini-USB Port,2015,TI-84 Plus C Silver Edition,None,150,Allowed
Zilog Z80 @ 6 MHz,28 KB of RAM,128×64 pixels 21×8 characters,6.875 x 3.31 x 0.938,TI-BASIC  Assembly (using exploits),I/O Port,1992,None,TI-86,130 Discontinued,Allowed
Zilog Z80 @ 6 MHz,128KiB of RAM,128×64 pixels 21×8 characters,7.3 × 3.5 × 1.0<ref></ref>,TI-BASIC  Assembly (built-in),I/O Port,1997,TI-85,None,150 Discontinued,Allowed
Motorola 68000 @ 10 MHz/12 MHz (nominal),256 KiB of RAM (188 KB user accessible)  2 MiB of Flash ROM,160×100 pixels,7.3 × 3.5 × 1.0<ref></ref>,TI-BASIC  Assembly (built-in)  Flash Apps,I/O Port,1998,TI-92  TI-92 II,TI-89 Titanium,159.99 Discontinued,Allowed
Motorola 68000 @ ≤16 MHz,256 KiB of RAM (188 KB user accessible)  2.7 MB of Flash ROM,160×100 pixels,Unknown,TI-BASIC  Assembly (built-in)  Flash Apps,I/O Port  Mini-USB Port,2004,TI-89,TI-Nspire CAS,149.99,Allowed
<br /> TI-92  TI-92 II,Motorola 68000 @ 10 MHz,68 KB of RAM/136 KB of RAM,240×128 pixels,Unknown,TI-BASIC  Assembly (using exploits),I/O Port,1995/1996,None,TI-89  TI-92 Plus,200 (TI-92) Discontinued,Banned due to QWERTY keyboard
<br /> TI-92 Plus,Motorola 68000 @ 12 MHz,256 KB of RAM (188 KB user accessible)  384 KB of Flash ROM,240×128 pixels,4.7 × 8.2 × 1.5<ref></ref>,TI-BASIC  Assembly (built-in)  Flash Apps,I/O Port,1998,TI-92  TI-92 II,Voyage 200,179.99 Discontinued,Banned due to QWERTY keyboard
Motorola 68000 @ 12 MHz,256 KB of RAM (188 KB user accessible)  2.7 MB of Flash ROM,240×128 pixels,4.6 × 7.3 × 1.2<ref></ref>,TI-BASIC  Assembly (built-in)  Flash Apps,I/O Port,2002,TI-92 Plus,TI-Nspire CAS,,Banned due to QWERTY keyboard
ARM9 @ 90 MHz/120 MHz,16 MB RAM  20 MB of Flash ROM,320×240 pixels (16-shade grayscale),7.90625 × 3.9375 × 0.96875,TI-BASIC  Assembly (using exploits)  Lua (with OS version 3.0.1 and greater),Mini-USB port,2007,TI-84 Plus  TI-89,TI-Nspire CX  TI-Nspire CX CAS,149 (CAS: 159),Allowed
