Distribution,x86,x86-64,ia64,ppc<ref>http://penguinppc.org/3383 </ref>,ppc64,sparc32,sparc64,arm,hppa<ref></ref>,loongson,mips<ref></ref>,sh,s390,s390x,alpha<ref></ref>,m68k<ref></ref>,riscv
SHR,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
Slackware,[empty],[empty],[empty],[empty],[empty],<ref></ref>,[empty],[empty],[empty],[empty],[empty],[empty],<ref name="slackware1"></ref>,<ref name="slackware1"/>,<ref></ref>,[empty],[added]
Solus,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Source Mage GNU/Linux,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
SUSE Linux Enterprise Server<ref></ref>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],</ref>}},[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
Tor-ramdisk,[empty],<ref></ref>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],<ref></ref>,[empty],[empty],[empty],[empty],[empty],[added]
Trisquel GNU/Linux,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
TurnKey GNU/Linux,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
Ubuntu/Kubuntu/Xubuntu/Lubuntu,[empty],[empty],[empty],[empty],[empty],[empty],[empty],, including 64-bit ARMv8-A,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
Ututo,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
Void Linux,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
XBMCbuntu,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
Yellow Dog Linux,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
Distribution,x86,x86-64,ia64,ppc,ppc64,sparc32,sparc64,arm,hppa,loongson,mips,sh,s390,s390x,alpha,m68k,riscv
