Irish,English,Scottish Gaelic,English,Notes
,harbour,,ocean,A number of words are used in both languages for "ocean" and "sea"  such as aigéan/''aigeun''  an fharraige. or (also in the compound "calafort" < "cala-phort") are commonly used in Irish for "harbour".
,Wales,A' Bhreatain Bheag,Brittany,(Britain) is the same in both. The Scottish Gaelic equivalent for Wales is   a Gaelicisation of an Anglicisation of the Welsh . The Irish for Brittany is from Latin "Britannia".
,He walked,,He died,means "walk" or "stroll" in Scottish Gaelic  but is also a euphemism for death
