Software,Faceted classification,Restricted facets,Mandatory facets,Predefined tags,Related/synonym tags,Notes
Connectbeam,[empty],[empty],[empty],[empty],[empty],none
Dogear,[empty],[empty],[empty],[empty],[empty],none
Jumper 2.0,[empty],[empty],[empty],[empty],[empty],none
Knowledge Plaza,[empty],[empty],[empty],[empty],[empty],none
Scuttle,[empty],[empty],[empty],[empty],[empty],none
