Name,License,Deployment,Platforms
10SCAPE<ref></ref>,Proprietary<ref></ref>,SaaS,All
Docusnap<ref></ref>,Proprietary,Desktop,Windows
Graphical Networks<ref></ref>,Proprietary,Desktop,Windows
Netbrain Tech<ref></ref>,Proprietary,Desktop,Windows
