Name,Manufacturer,Release,Size,Type,Capacity (GB)<ref name="ReferenceC">1 GB = 1.000 MB; 1 MB = 1.000 kB; 1 kB = 1.000 B</ref>,Storage,External,Dimensions (mm × mm),Depth (mm),Weight (g),Firmware
Archos 105,Archos,2007-08-31<ref></ref>,,DAP,0002 2,Flash,SDHC<ref name="MMC">All SD card-complaint devices are also compatible with MultiMediaCard (MMC).</ref>,85 × 45,7,50<ref></ref>,1.6.07<ref></ref>
Archos 405,Archos,2007-09-01<ref></ref>,Mini,PMP,0002 2,Flash,SDHC<ref name="MMC" />,99.6 × 78,13.2,119.07,1.8.03<ref name="Archos 405 2GB Firmware Download"></ref><ref name="archos.com"></ref>
Archos 405,Archos,2008-02-07<ref></ref>,Mini,PMP,0030 30,HDD,,100 × 78,15,191,1.8.03<ref name="Archos 405 2GB Firmware Download"/><ref name="archos.com"/>
Archos 5,Archos,2008-08-19,Mid,PMP,0500 120/500,HDD,8–32 GB and Micro SD Slot (SDHC compatible),127 × 78.8,19.4,300,1.6.53<ref></ref>
Archos 605 WiFi/GPS,Archos,2007-09-01<ref name="http"></ref>,Mid,PMP,0004 4,Flash,SDHC<ref name="MMC" />,,,,1.8.03<ref name="ReferenceA"></ref><ref name="ReferenceB"></ref>
Archos 605 WiFi/GPS,Archos,2007-09-01<ref name="http"/>,Mid,PMP,0160 30/80/160,HDD,,,,,1.8.03<ref name="ReferenceA"/><ref name="ReferenceB"/>
Archos 705 WiFi,Archos,2007-11-27<ref>Release date according to Slashgear.</ref>,Mega,PMP,0160 80/160,HDD,,182 × 128,19.69,630,1.8.03<ref></ref>
Cowon A3,Cowon,2007-11-14<ref></ref>,Mid,PMP,0080 30/60/80,HDD,,133.4 × 78.5,22,280,1.24<ref></ref>
Cowon D2,Cowon,2006-12-05<ref></ref>,Micro,PMP,0016 2/4/8/16,Flash,SDHC<ref name="MMC" />,78.0 × 55.4,16.6,91.0,2.57<ref></ref>
Cowon Q5W,Cowon,2007-11-30<ref>Release date according to SlipperyBrick.</ref>,Mid,PMP,0080 40/60/80,HDD,,138.8 × 88.5,20,380,1.5<ref></ref>
Cowon O2PMP,Cowon,,Mid,PMP,0032 8/16/32,Flash,,,,,
Gigabeat T-Series,Toshiba,2007-09-25<ref>Release date according to CNET.</ref>,Micro,PMP fack,0004 4,Flash,,2.13 × 3.38,,58.11,No release
GP2X F-200,GamePark Holdings,2007-10-28<ref>Release date according to PlayAsia.com.</ref>,Mid,PMP  HGC,0064 64,,SDHC<ref name="MMC" />,,,,4.0.0<ref></ref>
iPod,Apple,2001<ref name=null2007></ref>,,,,,,,,,
iPod classic 6G,Apple,2007-09-07<ref>Release date according to CNET.</ref>,Mini,DAP,0160 160,HDD,,,,,1.1.2<ref name="iPod firmware"></ref>
iPod nano 6G,Apple,2010-09-08<ref>Release date according to CNET.</ref>,Micro,DAP,0016 8/16,Flash,,,,,1.2<ref name="iPodnano1.2"></ref>
iPod touch 5G,Apple,2012-10-09<ref>Release date according to CNET.</ref>,Mini,PMP,0064 32/64,Flash,,123.4 x 58.6,6.1,88,9.0
iriver clix 2G,ReignCom,2007-04-24<ref>Release date according to CNET.</ref>,Micro,PMP,0008 2/4/8,Flash,,,,,1.07
PSP Slim & Lite,Sony,2007-08-30<ref>Release date according to YesAsia.</ref>,Mid,PMP  HGC,0064 64<ref>not user accessible</ref>,,Memory Stick,,,,6.10<ref></ref>
Rio PMP300,Diamond Multimedia,1998-09-15,Mid,DAP,0.032,Flash,SmartMedia,89x63,16,,
Samsung Galaxy Player 4.0 & 5.0,Samsung,2011-10-16<ref>Release date according to Amazon.</ref>,Mid,PMP,0008 8/16,Flash,microSDHC,123.7 x 64.2 (4.0)  141.3 x 78.2 (5.0),9.9 (4.0)  11.9 (5.0),121 (4.0)  182 (5.0),2.3.5
Samsung T10,Samsung,2007-09,,DAP,0008 2/4/8,Flash,,96 × 41.4,7.9,43,3.06<ref></ref>
Samsung P2,Samsung,2007-09,,DAP,0008 4/8,Flash,,100 × 52,9.9,83,5.10<ref></ref>
