+Comparison table of North American ski resorts,Resort name and website,Nearest city,State/province,Peak elevation (ft),Base elevation (ft),Vertical drop (ft),Skiable acreage,Total trails,Total lifts,Avg annual snowfall (in),Adult single day lift ticket price (USD),Date statistics updated
Cooper,Leadville,Colorado,11.700,10.500,1.200,400,39,4,260,$52,February 7  2017<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Grand Targhee Resort,Alta,Wyoming,10.121,7.851,2.270,2.602,99,5,500,$80,February 7  2017<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Stratton Mountain Resort,Winhall,Vermont,3.875,1.872,2.003,670,97,11,180,$92,March 27  2017<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Mt. Rose Ski Tahoe,Reno,Nevada,9.700,8.260,1.800,1200,60,8,396,$125,Oct 11  2017<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Soldier Mountain,Fairfield,Idaho,7.177,5.756,1.400,1.180,36,2,[empty],$40,February 7  2017<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Pomerelle Mountain Resort,Albion,Idaho,9.000,8.000,1.000,500,24,2,500,$45,February 7  2017<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Schweitzer,Sandpoint,Idaho,6.400,4.000,2.400,2.900,92,7,300,$77,February 7  2017<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Brundage Mountain,McCall,Idaho,7.803,5.882,1.921,1.920,46,5,320,$64,February 7  2017<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Bogus Basin,Boise,Idaho,7.582,5.800,1.800,2.600,78,7,200,$59,February 7  2017<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Sun Valley,Sun Valley,Idaho,9.150,5.750,3.400,2.154,121,18,220<ref></ref>,$125,February 7  2017<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Panorama Mountain Resort,Invermere,British Columbia,7.792,3.773,4.019,2.847,120,10,196,$92,website=panoramaresort.com|access-date=2016-10-14}}</ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Whitefish Mountain Resort,Kalispell,Montana,6.817,4.464,2.353,3.000,105,14,300,$76,October  2016<ref></ref><ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Arizona Snowbowl,Flagstaff,Arizona,11.500,9.200,2.300,777,40,7,260,$69,website=www.arizonasnowbowl.com|access-date=2016-10-15}}</ref><ref> Arizona Snowbowl|website=www.arizonasnowbowl.com|access-date=2016-10-15}}</ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Telluride Ski Resort,Telluride,Colorado,13.150,8.725,4.425,2.000,147,18,309,$86,October  2016<ref></ref><ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Arapahoe Basin,Keystone,Colorado,13.050,10.780,2.270,1.428,109,8,350,$105,December 20  2018<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Pajarito Mountain Ski Area,Los Alamos,New Mexico,10.440,9.000,1.440,300,40,6,163,$49,October  2016<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Taos Ski Valley,Taos,New Mexico,12.481,9.200,3.281,1.294,110,15,305,$98,October  2016<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Ski Santa Fe,Santa Fe,New Mexico,12.075,10.350,1.725,660,79,7,225,$75,October  2016<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Big Sky Resort,Bozeman,Montana,11.166,6.800,4.350,5.800,317,36,400,$119,October  2016<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Beartooth Basin Summer Ski Area,Red Lodge,Montana,10.900,[empty],1.000,600,9,2,[empty],$46,December  2017<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Jackson Hole Mountain Resort,Teton Village,Wyoming,10.450,6.311,4.139,2.500,133,15,459,$149,December 23  2017<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Loveland Ski Area,Georgetown,Colorado,13.010,10.800,2.210,1.800,94,11,422,$71,October  2016<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Revelstoke Mountain Resort,Revelstoke,British Columbia,7.300,1.680,5.620,3.121,69,5,430,$95,last=Resort|first=Revelstoke Mountain|website=www.revelstokemountainresort.com|access-date=2016-10-15}}</ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Mount Ashland Ski Area,Ashland,Oregon,7.533,6.383,1.150,220,23,5,265,$39,October  2016<ref></ref>,[added]
Keystone Resort,Keystone,Colorado,12.408,9.280,3.128,3.148,131,20,235,$129 online,December 20  2018<ref></ref>,[added]
Breckenridge Ski Resort,Breckenridge,Colorado,12.998,9.600,3.398,2.908,187,34,353,$165 online,December 20  2018<ref></ref>,[added]
Squaw Valley,Truckee,California,9.050,6.200,2.850,3.600,170,29,450,$93,October  2016<ref></ref>,[added]
