Name,Computer architectures supported,File systems supported,Kernel type,Source lines of code,GUI default is on<ref name="GUI" group="t"/>,Package management,Update management,Native APIs<ref name="API" group="t"/>,Non-native APIs supported through subsystems
AIX,POWER  PowerPC-AS  PowerPC  Power Architecture,JFS  JFS2  ISO 9660  UDF  NFS  SMBFS  GPFS,Monolithic with modules,[empty],No,installp  RPM,Service Update Management Assistant (SUMA),SysV/POSIX,[empty]
AmigaOS Classic,68k  PowerPC,Proprietary (OFS  FFS  SFS  PFS)  FAT  ISO 9660  UDF  many others via 3rd party drivers  such as SMBFS  etc.,Microkernel,[empty],Yes,Installer<ref name="AmigaOSinstaller" group="t"/> (almost not needed)<ref name="AmigaOSinstallation" group="t"/>,[empty],Proprietary,BSD subset (available through 3rd party ixemul.library)
AmigaOS&nbsp;4,PowerPC,Proprietary (OFS  FFS  SFS  PFS)  JXFS  FAT  ISO 9660  UDF  many others via 3rd party drivers  such as SMBFS  etc.,Microkernel,[empty],Yes,Installer<ref name="AmigaOSinstaller" group="t"/> (almost not needed)<ref name="AmigaOSinstallation" group="t"/>,AmiUpdate (almost not needed)<ref name="AmiUpdate" group="t"/>,Proprietary,BSD subset (available through 3rd party ixemul.library)
Chrome OS,ARM  x86,eCryptfs  NTFS  FAT  FAT16  FAT32  exFAT  ext2  ext3  ext4  HFS+  MTP (read and write)  ISO9660 (read-only)  UDF (read-only),Monolithic with modules,~ 17 million<ref></ref>,Yes,Portage,[empty],Linux/POSIX,[empty]
DragonFly BSD,x86-64,UFS1  MFS  ext2  FAT (16/32)  HAMMER  ISO 9660,Hybrid,[empty],No,dports  pkg,git  cvsup  rsync  pkg,BSD/POSIX,Mono  Java  Win16 <ref name="Wine" group="t"/> Win32 <ref name="Wine" group="t"/> Linux
eComStation,x86,HPFS (default)  FAT  JFS  UDF  FAT32  NTFS (read only),Hybrid,[empty],Yes,WarpIN  Feature Install  others,Maintenance Tool,Proprietary  DOS API  Win16,POSIX  Java  others
FreeBSD,x86  x86-64  ARM  MIPS  PowerPC  others,UFS2  ZFS  ext2  ext3  FAT  ISO 9660  UDF  NFS  others,Monolithic with modules,<ref></ref>,No,Ports collection  packages,by source  network binary update (freebsdupdate),BSD/POSIX,Mono  Java  Win16 <ref name="Wine" group="t"/> Win32 <ref name="Wine" group="t"/> Linux
Genode,ARM  RISC-V  x86  x86-64,ext2  ext3  FAT32  ISO9660,Microkernel or Monolithic kernel,~300.000,No,Custom,None,Genode,POSIX  Qt  SDL  MirageOS<ref></ref>
GhostBSD,x86  x86-64,UFS2  ext2  ext3  FAT  ISO 9660  UDF  NFS  ReiserFS (read only)  XFS (experimental)  ZFS  others,Monolithic with modules,[empty],Yes,Ports collection  packages,by source  network binary update (freebsdupdate),BSD/POSIX,Mono  Java  Win16 <ref name="Wine" group="t"/> Win32 <ref name="Wine" group="t"/> Linux
Linux,x86  x86-64  ARM  PowerPC  SPARC  others,ext2  ext3  ext4  btrfs  ReiserFS  FAT  ISO 9660  UDF  NFS  and others,Monolithic with modules,~15 million (kernel)<ref></ref> lines of code for userland libraries and applications vary depending on the distribution,Yes,Portage,[empty],Linux/POSIX,Mono  Java  Win16 <ref name="Wine" group="t"/> Win32<ref name="Wine" group="t"/>
Haiku,x86  PowerPC,BFS (default)  FAT  ISO 9660  ext3  NTFS,Hybrid,~5.2 million,Yes,Ports collection (haikuport),pkgman  HaikuDepot,POSIX  BeOS API,Java  Qt
HP-UX,PA-RISC  IA-64,VxFS  HFS  CDFS  EVFS  NFS  CIFS,Monolithic with modules,[empty],No,SD  swinstall,swa (HP-UX Software Assistant),SysV/POSIX,[empty]
Inferno,x86  PowerPC  SPARC  Alpha  MIPS  others,Styx/9P2000  kfs  FAT  ISO 9660,Monolithic with modules  user space file systems,[empty],Yes,[empty],[empty],Proprietary,[empty]
iOS,ARM,HFS+ (prior to version 10.3)  APFS (since version 10.3)  FTP,Hybrid,~80 million,Yes,?,Software Update,Cocoa  BSD-POSIX,?
Classic Mac OS,68k  PowerPC,HFS+  HFS  MFS (Mac OS 8.0 and before)  AFP  ISO 9660  FAT(System 7 and later)  UDF,Monolithic with modules,[empty],Yes,None,Software Update (only in Mac OS 9),Toolbox  Carbon (from version 8.1),[empty]
