BitTorrent library,First public release date,Latest stable,Software license
libtorrent (Rasterbar),<ref></ref>,[empty],[empty]
MonoTorrent,[empty],[empty],[empty]
rTorrent (libTorrent Rakshasa),<ref name="rakshasa-timeline"></ref>,[empty],[empty]
[added],[added],[added],[added]
BitTorrent library,First public release date,Latest stable,Software license
