Application and developer,Latest version/release + date,Schematic?,Simulation?,PCB editing?,Runs on POSIX style systems?,Runs on Windows?,Other platforms?,Open source?,User Interface Language(s),Imports,Exports,Scripting support
Advanced Design System by Keysight EEsof EDA,2019 <ref>Advanced Design System – ADS Software - Current Version</ref>,[empty],[empty],[empty],<ref name="ADSplatforms">ADS Supported Platforms</ref>,<ref name="ADSplatforms"/>,SuSE  RHEL<ref name="ADSplatforms"/>,[empty],en,HSPICE  SPICE  Spectre netlists; Gerber  Excellon  ODB++  artwork; more,HSPICE  SPICE  Spectre netlists; Gerber  Excellon  ODB++  artwork; more,Python  Application Extension Language (proprietary; "AEL")
Active-HDL by Aldec,10.3,[empty],[empty],[empty],[empty],[empty],[empty],[empty],en,EDIF  Viewlogic  more,PDF  HTML  Verilog  VHDL  EDIF  Zuken  more,[added]
Altium Designer (former Protel) by Altium,18.1,[empty],[empty],[empty],[empty],[empty],Wine,[empty],Multilingual,OrCAD  Allegro  PADS Logic  PADS PCB  Expedition  DxDesigner  EAGLE  Gerber  STEP  Solidworks  IDF  more,3D PDF  Gerber  Gerber X2  Excellon  ODB++  DXF  STEP  OrCAD  EAGLE  more,Delphi  JS  VB
CADSTAR  Board Designer  and Visula by Zuken,18,[empty],, Spice,[empty],[empty],[empty],[empty],[empty],en,PADS  OrCAD  P-CAD  Protel  DXF  IDF,PDF  Gerber  Excellon  ODB++  DXF  IDF more,[added]
CircuitLogix by Logic Design Inc.,Release 9.1,[empty],[empty],[empty],[empty],[empty],[empty],[empty],en,SPICE  Gerber  DXF,SPICE  PDF  Gerber  DXF,[empty]
CircuitMaker by Altium,1.3.0.119,[empty],[empty],[empty],[empty],[empty],Wine,[empty],en,AD09  AD10  AD12  PADS  P-CAD  OrCAD  Protel  EAGLE  DXF,Gerber  Excellon  DXF  STEP  more,[added]
CircuitStudio by Altium,1.5.1.13,[empty],[empty],[empty],[empty],[empty],Wine,[empty],en,AD09  AD10  AD12  PADS  P-CAD  OrCAD  Protel  EAGLE  DXF,Gerber  Excellon  SPICE  DXF  STEP  more,[added]
CR-5000 by Zuken,13,[empty],, SI & PI,[empty],[empty],[empty],Unix  Linux,[empty],en  jp,EDIF  DXF  IGES  IDF  BSDL  STEP  ACIS  Gerber  Excellon  more,PDF  Gerber  Excellon  ODB++ (must request<ref name="artwork"></ref>)  DXF  STEP  IPC D-356  IPC-2581  EPS  ACIS,[added]
DipTrace by Novarm,3.3.1.0,[empty],<br />(Spice netlist export),[empty],[empty],[empty],Mac  Wine,[empty],21 languages,EAGLE  Altium  P-CAD  PADS  OrCAD  Gerber  N/C Drill  DXF  BSDL Pinlist  Netlists,Gerber  Gerber X2  Excellon  ODB++  DXF  P-CAD  PADS  OrCAD  IPC-D-356  STEP  VRML  Pick and Place  CSV  BOM,[added]
DesignSpark PCB from RS Components,8,[empty],, Spice,[empty],[empty],[empty],[empty],[empty],Various,EAGLE  DXF  EDIF,Gerber  Excellon  ODB++  DXF  IDF  PDF  LPKF,[added]
EAGLE by Autodesk/CadSoft Computer,9.1.3,[empty],[empty],[empty],[empty],[empty],[empty],[empty],de  en  zh  hu  ru,EAGLE (XML)  ACCEL (P-CAD  Altium  Protel)  ULTIBOARD  Netlists  BMP  Custom,EAGLE (XML)  Protel  Netlists  Images  Gerber  Gerber X2  Excellon  Sieb & Meyer  HPGL  PostScript/EPS  PDF  Images  HyperLynx  IDF  Custom,Proprietary User Language Programming (ULP)
EasyEDA,5.4.12,[empty],[empty],[empty],[empty],[empty],Linux  Mac,[empty],en  fr  de  pl  jp  ru  es  se  ua  zh ...,Altium  Eagle  Kicad libraries  LTspice .asc/.asy files  JSON  Spice,PDF  PNG  SVG  JSON  Gerber  Excellon  Pick and Place CSV file  CSV-formatted drill chart  Bill of Materials CSV file  Altium netlist  FreePCB netlist  PADS Layout Netlist  Spice netlist.,JSON
Fritzing,0.9.3b<ref>http://blog.fritzing.org/2016/06/03/new-fritzing-release-0-9-3b/</ref>,, + breadboard,[empty],[empty],[empty],[empty],Linux  Mac,[empty],en  de  nl  es  it  fr  pt  ru  zh  jp  ...,gEDA symbols  KiCad symbols  SVG,Gerber  DIY etching  BOM  SVG  PDF  EPS,[added]
gEDA,1.8.2<ref>http://wiki.geda-project.org/geda:download</ref>,[empty],[empty],[empty],[empty],[empty],Linux  Mac,[empty],en,gschem netlists  image as background,Gerber  Excellon  SVG  PDF  EPS  PNG  GIF  JPEG  Specctra  XYRS,yes
KiCad,5.0.1<ref name="KiCad_500"></ref>,[empty],[empty],[empty],[empty],[empty],Linux  Mac,[empty],zh_CN  de  en  es  fr  it  pt  ru  ja  pl  cz,TinyCAD net lists  OrCAD EDIF  EAGLE (XML),PDF  Gerber  Gerber X2  Excellon  netlist  VRML2  STEP  IDFv3,Python
OrCAD,17.2,[empty],[empty],[empty],[empty],[empty],[empty],[empty],en,Eagle  PADS  Altium  STEP  DXF  IDF  IDX OrCAD SDT  OrCAD Layout OrCAD,PDF  Gerber  Gerber X2  Excellon drill/route  netlist  ODB++  DXF  IDF  IDX  STEP 3D PDF  IPC2581,Tcl/TK  SKILL (Lisp)
pcb-rnd,2.0.0<ref>http://repo.hu/projects/pcb-rnd/news.html</ref>,[empty],[empty],[empty],[empty],[empty],Linux  Mac,[empty],en,gschem netlists  Protel Autotrax  Kicad (legacy & s-expr layouts)  Eagle (XML & v3.4.5 binary layouts)  eeschema netlists  mentor netlists  TinyCad netlists  LT-Spice  MUCS  Specctra  Mentor Graphics Hyperlynx  BMP  JPG  GIF  HPGL  image as background,Gerber/[Excellon format|drill] SVG  PDF  EPS  PNG  GIF  JPEG  Specctra  Protel Autotrax  Kicad (legacy & s-expr)  dxf  FidocadJ  Mentor Graphics Hyperlynx  template configurable XYRS/BOM,Multiple languages
Upverter,3.0,[empty],[empty],[empty],[empty],[empty],Web application,[empty],en,Altium  OrCad  PDF  OpenJSON  Eagle,PDF  Gerber  Excellon  netlist  PADS Layout Netlist  Tempo Automation  Pick and Place CSV  High-Res PNG  STL  CSV-formatted drill chart  CSV-formatted list of all parts,[added]
Micro-Cap by Spectrum Software,11.0.2.0,[empty],[empty],[empty],[empty],[empty],Wine,[empty],en  jp,HSPICE  PSPICE  SPICE3  netlists  Images  IBIS  Touchstone,SPICE text file  netlist  BOM  Protel  Accel  OrCad  PADS netlists  Schematic and Analysis Plots Images  Numeric Output Text  Excel,[added]
Pulsonix by WestDev Ltd,10.0,[empty],[empty],[empty],[empty],[empty],Wine,[empty],en,Allegro  Altium  CadStar  Eagle  OrCAD  PADS  P-CAD  Protel  Gerber  STEP  DXF  IDF  more,Gerber  Gerber X2  Excellon  ODB++  IPC-2581  PDF  DXF  STEP  IDF  BOM  more,Proprietary language  ActiveX
TARGET 3001!,19.8.0.32,[empty],[empty],[empty],[empty],[empty],[empty],[empty],en  de  fr,Eagle  DXF  Gerber  XGerber  Excellon  BMP  CXF  STEP 3D,XGerber  Excellon  Eagle  HPGL  G-Code (Milling)  CXF  STEP 3D  Excel BOMs  Pick&Place  GenCAD  FABmaster  IPC D-356  Test points  Netlists  OBJ  POV-Ray  PDF,[added]
NI Ultiboard and Multisim by National Instruments,14.1 <ref></ref>,[empty],[empty],[empty],[empty],[empty],Web application <ref></ref>,[empty],en,MS*  MP*  EWB  Spice  OrCAD  UltiCap  Protel  Gerber  DXF  Ultiboard 4&5  Calay,BOM  Gerber  Excellon  IGES (3D)  DXF (2D & 3D)  SVG,[added]
123D Circuits by Autodesk,N/A,, + breadboard,[empty],[empty],[empty],[empty],Web application,[empty],en,Eagle,Gerber,[added]
Application and developer,Latest version/release + date,Schematic?,Simulation?,PCB editing?,Runs on POSIX style systems?,Runs on Windows?,Other platforms?,Open source?,User Interface Language(s),Imports,Exports,Scripting support
