Name,IP SLA Reports,Logical Grouping,Trending,Trend Prediction,Auto Discovery,Agentless,SNMP,Syslog,Plugins,Triggers / Alerts,MIB Compiler,WebApp,Distributed Monitoring,Inventory,Platform,Data Storage Method,License,Maps,Access Control,IPv6,Latest release date,Latest release version
InterMapper,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Windows  Linux & Mac OS,PostgreSQL,[empty],[empty],[empty],[empty],2017-07,6.1.5
Ipswitch: WhatsUp Gold,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],C++  Java,MS SQL,[empty],[empty],[empty],[empty],2017-08-23,17.1.1
isyVmon,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],PHP,RRDtool  MySQL,[empty],[empty],[empty],[empty],[added],[added]
Kaseya Network Monitor,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],FirebirdSQL,[empty],[empty],[empty],[empty],[added],[added]
Munin,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Perl,RRDtool,[empty],[empty],[empty],[empty],2016-09-19,2.0.26
Nagios,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],C,Flat file  SQL (via ndoutils)  MySql (Via Nconf),[empty],[empty],[empty],<ref name=nagiosipv6></ref>,2017-08-24,4.3.4<ref name=nagiosversion></ref>
NeDi,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Perl  PHP,Pg  MySQL  RRDTool  MariaDB,[empty],[empty],[empty],[empty],2016-04,1.6<ref name=NeDi></ref>
Netdisco,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Perl,PostgreSQL,[empty],[empty],[empty],[empty],2017-10,2.036011<ref name=Netdisco></ref>
NeuralStar,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],MS SQL,[empty],[empty],[empty],[empty],[added],[added]
CA UIM fka Nimsoft Monitor,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],SQLServer  Oracle  MySQL,[empty],[empty],[empty],[empty],2013-06-30,1.8.6
