Name,IP SLA Reports,Logical Grouping,Trending,Trend Prediction,Auto Discovery,Agentless,SNMP,Syslog,Plugins,Triggers / Alerts,MIB Compiler,WebApp,Distributed Monitoring,Inventory,Platform,Data Storage Method,License,Maps,Access Control,IPv6,Latest release date,Latest release version
Octopussy,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Perl  ASP,MySQL,[empty],[empty],[empty],[empty],2017-06-03,1.0.16
op5 Monitor,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],C  PHP,Flat file  SQL,[empty],[empty],[empty],[empty],Monthly,7.3.0
OpenKBM,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added],[added]
OpenNMS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Java,JRobin / RRDTool / Apache Cassandra  PostgreSQL,[empty],[empty],[empty],[empty],2018-01-13,21.0.3
Opmantek NMIS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Perl,MongoDB  RRDtool,[empty],[empty],[empty],[empty],2015-10,8.5.10G
OPNET's AppResponse Xpert,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added],[added]
Opsview,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Perl  C  ExtJS,SQL,[empty],[empty],[empty],[empty],2017-07-11,5.4
OSI NetExpert,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Java  C++,Oracle,[empty],[empty],[empty],[empty],2013-04,10.0
PA Server Monitor,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],C++,SQLite  Microsoft SQL Server,[empty],[empty],[empty],[empty],2014-7,5.5
PacketTrap,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],SQL,[empty],[empty],[empty],[empty],[added],[added]
Pandora FMS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Perl  PHP  C++  JavaScript,MySQL  Oracle,[empty],[empty],[empty],[empty],2017-07,7.0 NG 707
PathSolutions TotalView,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Windows,SQLite,[empty],[empty],[empty],[empty],2018-06-01,9.01
Performance Co-Pilot,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],C Perl  Python  POSIX  MinGW,Flat file,[empty],[empty],[empty],[empty],2016-11-15,3.11.6
PRTG,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Windows,Flat file,[empty],[empty],[empty],[empty],2018-08-14,18.3.43.2323
ScienceLogic,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Python,MySQL,[empty],[empty],[empty],[empty],[added],[added]
SevOne,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],C  C++  PHP,MySQL,[empty],[empty],[empty],[empty],2018-9,5.7.2.4<ref></ref>
Shinken,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Python,Flat file  MySQL  Oracle  Graphite  Sqlite  MongoDB,[empty],[empty],[empty],[empty],2016-03-10,2.4.3
Solarwinds,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],.NET,SQL,[empty],[empty],[empty],[empty],[empty],[added]
Spiceworks,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],PHP,Sqlite,[empty],[empty],[empty],[empty],2018-03-21,7.5.00107
CA Spectrum,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],C++  JavaScript,Sleepycat-QSL  MySQL,[empty],[empty],[empty],[empty],2018-03,10.2
Xymon/Hobbit,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],C  Shell,Flat file  RRDTool  MySQL via plugin,[empty],[empty],[empty],[empty],2017-01-18,4.3.28
Vigilo NMS,(NMS and NOC editions),[empty],[empty],via integration,via integration,[empty],[empty],via Prelude SIEM,[empty],[empty],[empty],[empty],(NMS and NOC editions),via GLPI,Python  Perl,PostgreSQL  RRDtool,[empty],(NMS and NOC editions),(NMS and NOC editions),[empty],2017-09-14,4.1.0
Zabbix,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],C  PHP,Oracle  MySQL  PostgreSQL  IBM DB2  SQLite,[empty],[empty],[empty],[empty],2018-10-01,4.0
Zenoss Core,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Python  Java,ZODB  MariaDB  Apache HBase,[empty],[empty],[empty],[empty],2018-01-09,6.1.0
Name,IP SLA Reports,Logical Grouping,Trending,Trend Prediction,Auto Discovery,Agentless,SNMP,Syslog,Plugins,Triggers / Alerts,MIB Compiler,WebApp,Distributed Monitoring,Inventory,Platform,Data Storage Method,License,Maps,Access Control,IPv6,Latest release date,Latest release version
