Model,Archi-<br />tecture,Chips,Thread processors<br />(total),Bus interface,Memory,TDP (Watts)
Bus type,Size (GB),[added],[added],[added],[added],[added]
GRID K1<ref></ref>,Kepler,4× GK107,4× 192,PCIe 3.0 ×16,DDR3,4× 4GB
GRID K2<ref></ref>,Kepler,2× GK104-895,2× 1536,PCIe 3.0 ×16,GDDR5,2× 4GB
GRID K340,Kepler,4× GK107,4× 384,PCIe 3.0 ×16,GDDR5,4× 1GB
GRID K520,Kepler,2× GK104,2× 1536,PCIe 3.0 ×16,GDDR5,2× 4GB
