Client,Creator,First public release date,Latest stable version,Software license,Copy files over 2 GB<ref name="ubuntuforums" />
AbsoluteTelnet,Celestial Software,1996,9.49,Proprietary,[empty]
Beyond Compare,Scooter Software,1996,4.2.8,Proprietary,[empty]
Commander One,Eltima Software,2015,1.1,Proprietary,[empty]
CrossFTP Pro,CrossFTP Software,2006,1.98.7,Proprietary,[empty]
CuteFTP,Alex Kunadze/Globalscape,1994,9.3.0 (Windows) / 3.1.3 (Mac),Proprietary,[empty]
Directory Opus,GPSoftware,1990,11.10,Proprietary,[empty]
FlashFXP,OpenSight Software  LLC,1999,5.4.0.3970,Proprietary,[empty]
FTP Client,Vicomsoft,1997,5.0.1,Proprietary,[empty]
SmartFTP,SmartSoft Ltd,1998,6.0.2155.0,Proprietary,[empty]
Total Commander,Christian Ghisler,1993,9.21a,Proprietary,[empty]
WebDrive,South River Technologies  Inc.,1998,2017,Proprietary,[empty]
WS_FTP,Ipswitch  Inc.,1996,12.5,Proprietary,[empty]
Yummy FTP,Yummy Software,2004,1.9.0,Proprietary  Setapp,[empty]
sFTP Client,sFTP Client Ltd,2013,3.1.6,Proprietary,[empty]
Desktop.Tech,Micro Formatica,2018,0.5.0,Proprietary,[empty]
