+
Web host,Storage size,Max. file size,Direct access<ref group="1" name="ReferenceA">For paying users there is usually a direct access possible.</ref>,Traffic or bandwidth limit,File expiration<ref group="1" name="ReferenceB">For paying users there is usually no file expiration.</ref>,Remote uploading?,Developer API?,FTP upload possible?,File versioning,Follows symlinks,Client-side encryption<ref name="Security Now 349"></ref>,Free GB (number only),Misc. notes
Amazon Drive<ref name="Muchmore"></ref>,GB 3 mo. free trial  up to 30 TB paid,</ref>}},,Amazon S3 limits,90 days after subscription expires  data is deleted.,,,,,?,?,,Free 5GB plan only for China and Brazil.
Amazon S3<ref></ref>,GB 12-month free trial with credit-card  paid bandwidth  unlimited paid,GB per file  unlimited files per bucket,,Amazon S3 limits,, pay for storage each month,,REST  SOAP,?,,?,?,,
Baidu Cloud,TB (6 GB free)<ref></ref>,10 GB free  20 GB paid <ref></ref>,,,,,,,,,?,,Currently in Chinese only
Box<ref></ref><ref></ref>,free trial  100 GB paid (Starter)  Unlimited Business  Unlimited Enterprise<ref name=":0">.</ref>,250 MB free Personal  5 GB paid Personal  5 GB Business  5 GB Enterprise<ref name=":0" />,Paid account types only<ref></ref>,10 GB/month free  2 TB/month paid<ref>.</ref>,,30 MB per file via IFTTT<ref></ref>,<ref></ref>,Business and Enterprise customers only<ref></ref>,(premium)<ref></ref>,,?,,Does not sync Mac files such as iWork (Keynote etc.). Does not support Linux OS. 50 GB free with Sony Xperia or HP Spectre 13
CloudMe<ref></ref>,GB free  +500 MB for referrals up to 16 GB  500 GB paid<ref></ref>,MB free  Unlimited premium,No<ref></ref>,,,<ref>https://forum.cloudme.com/viewtopic.php?id=635</ref>,REST  SOAP  WebDAV<ref></ref>,<ref></ref>,(60 days)<ref></ref>,?,?,,Primarily focused on media files  synchronization and backup with web sharing.
Dropbox<ref></ref>,GB free  +500 MB for referrals up to 18 GB  1 TB  2 TB  or unlimited paid<ref></ref>,GB  Unlimited using client application,File-by-file  not for HTML<ref></ref><ref></ref>,20 GB/day free  200 GB/day paid<ref></ref>,<ref></ref>,,,<ref></ref>,30 days by default  1 year w/ add-on<ref></ref>,,,,Synchronization  backup and websharing. Does support Linux OS 25 GB free with HTC Sense 4 & 5  100 GB free with Samsung device
Google Drive<ref></ref><ref></ref>,GB free <ref></ref> GB to TB paid;<ref>http://www.pcworld.com/article/2107946/google-lowers-prices-on-drive-paid-storage-options.html</ref><ref>https://techcrunch.com/2014/03/13/google-drive-gets-a-big-price-drop-100gb-now-costs-1-99-a-month/</ref> Unlimited Storage for G Suite Business (1 TB per user if there are fewer than 5 users),TB<ref></ref>,Manually  file-by-file<ref></ref><ref></ref>,<ref></ref>,,,OAuth2,,<ref>About file versions</ref>,,,,Additional space for limited time period with some devices and services.<ref>http://www.androidcentral.com/updating-htc-sense-55-claim-25gb-free-google-drive-space</ref><ref>http://www.cnet.com/how-to/get-10gb-extra-space-on-google-drive-for-linking-with-quickoffice/</ref><ref>http://9to5google.com/2012/10/22/how-to-claim-google-chromebook-goodies-100gb-google-drive-storage-12-gogo-in-air-wi-fi-passes/</ref><ref>http://lifehacker.com/two-year-chromebook-users-your-free-google-drive-spac-1588050197</ref>
IBM Connections,GB  additional space paid,GB,,,,,CMIS  REST  Atom (standard) and OAuth2,,,?,?,,Subscription costs US$6/year<ref></ref>
Apple iCloud<ref></ref>,GB free  GB to TB paid,GB,,200/400/600 GB per month,,,,No,,,?,,GB for previous MobileMe account subscriptions<ref></ref>
