Service,Owner,Launched,Primary service,Software license,Content license,Multilingual,Ad-free
Diaspora,Open source,2010-11,social network,AGPLv3,AGPLv3,,
Facebook,Facebook  Inc.<ref name="Growth"></ref>,2004-02,social network,proprietary,own TOS,,
Gab,Gab AI  Inc.,2016-08,micro-blogging,proprietary,own TOS,,
Google+,Google  Inc.,2011-06,social network,proprietary,own TOS,,
micro.blog,Riverfold Software,2017-04,micro-blogging,???,???,,
identi.ca,Status Net  Inc.,2008-07 <ref></ref>,micro-blogging,Apache v2 (pump.io),CC-BY 3.0,,
Tout,Tout,2010-04 <ref></ref>,micro-blogging,proprietary,own TOS,,
Twitter,Twitter  Inc.,2006-08 <ref>Twitter - Where did the idea for Twitter come from?</ref>,micro-blogging,proprietary,own TOS,,
Yammer,Yammer  Inc.,2008-09 <ref>- About Yammer </ref>,micro-blogging,proprietary,own TOS,,
Mastodon,Open source,website=news.ycombinator.com|access-date=2017-02-23}}</ref>,micro-blogging,AGPLv3,own TOS,,
Twister,Open source,2013,micro-blogging,MIT and BSD licenses,own TOS,,
Tumblr,Oath Inc.,2007,micro-blogging,proprietary,own TOS,,
