Name,Parsing algorithm,Input grammar notation,Output languages,Grammar  code,Lexer,Development platform,IDE,License
ACCENT,Earley,YACC variant,C,mixed,external,all,[empty],GNU GPL
APaGeD,GLR  LALR(1)  LL(k),?,D,mixed,generated,all,[empty],Artistic
Bison,LALR(1)  LR(1)  IELR(1)  GLR,YACC,C  C++  Java  XML,mixed (except XML),external,all,[empty],GNU GPL
DMS Software Reengineering Toolkit,GLR,?,Parlanse,mixed,generated,Microsoft Windows,[empty],Proprietary
DParser,Scannerless GLR,?,C,mixed,scannerless,POSIX,[empty],BSD
Dypgen,runtime-extensible GLR,?,OCaml,mixed,generated,all,[empty],CeCILL-B
E3,Earley,?,OCaml,mixed,external  or scannerless,all,[empty],?
Elkhound,GLR,?,C++  OCaml,mixed,external,all,[empty],BSD
eu.h8me.Parsing,GLR,?,N/A (state machine is runtime generated),separate,external,.NET Framework,[empty],BSD
GDK,LALR(1)  GLR,?,C  Lex  Haskell  HTML  Java  Object Pascal  Yacc,mixed,generated,POSIX,[empty],MIT
Happy,LALR  GLR,?,Haskell,mixed,external,all,[empty],BSD
Hime Parser Generator,GLR,?,C#  Java  Rust,separate,generated,.NET Framework  Java Virtual Machine,[empty],GNU LGPL
IronText Library,LALR(1)  GLR,C#,C#,mixed,generated or external,.NET Framework,[empty],Apache License 2.0
Jison,LALR(1)  LR(0)  SLR(1),YACC,JavaScript  C#  PHP,mixed,generated,all,[empty],MIT
Syntax,LALR(1)  LR(0)  SLR(1) CLR(1) LL(1),JSON/YACC,JavaScript  Python  PHP  Ruby  C#  Rust  Java,mixed,generated,all,[empty],MIT
Laja,Scannerless  two phase,Laja,Java,separate,scannerless,all,[empty],GNU GPL
ModelCC,Earley,Annotated class model,Java,generated,generated,all,[empty],BSD
parglare,Scannerless LR/GLR,BNF-like,Python interpreted  automata run-time generated,mixed,scannerless,all,[empty],MIT
P1,Combinators,BNF-like,OCaml,mixed,external  or scannerless,all,[empty],?
P3,Earley/combinators,BNF-like,OCaml,mixed,external  or scannerless,all,[empty],?
P4,Earley/combinators  infinitary CFGs,BNF-like,OCaml,mixed,external  or scannerless,all,[empty],?
Scannerless Boolean Parser,Scannerless GLR (Boolean grammars),?,Haskell  Java,separate,scannerless,Java Virtual Machine,[empty],BSD
SDF/SGLR,Scannerless GLR,SDF,C  Java,separate,scannerless,all,[empty],BSD
SmaCC,GLR(1)  LALR(1)  LR(1),?,Smalltalk,mixed,internal,all,[empty],MIT
SPARK,Earley,?,Python,mixed,external,all,[empty],MIT
Tom,GLR,?,C,generated,none,all,[empty],"No licensing or copyright restrictions"
UltraGram,LALR  LR  GLR,?,C++  C#  Java  Visual Basic .NET,separate,generated,Microsoft Windows,[empty],Proprietary
Wormhole,Pruning  LR  GLR  Scannerless GLR,?,C  Python,mixed,scannerless,Microsoft Windows,[empty],MIT
Whale Calf,General tabular  SLL(k)  Linear normal form (Conjunctive grammars)  LR  Binary normal form (Boolean grammars),?,C++,separate,external,all,[empty],Proprietary
yaep,Earley,yacc like,C,mixed,external,all,[empty],LGPL
Zecc,Recursive Pattern Matching,Zecc/Zacc,Linkable Library,mixed,scannerless,macOS,[empty],Proprietary
