Name,License,Deployment,Platforms
10-Strike<ref name="10-Strike Network Diagram"></ref>,Proprietary,Desktop,Windows
CloudView NMS<ref></ref>,Shareware,Desktop,Windows  Linux  macOS
Manage Engine<ref></ref>,Proprietary,Desktop,Windows
MaSSHandra<ref></ref>,Proprietary<ref></ref>,Desktop,Windows  Linux  macOS
netTransformer<ref></ref>,GPL,Desktop,Windows/Linux/macOS
OpenNMS<ref></ref>,AGPLv3<ref></ref>,Desktop,Linux  macOS  others
SolarWinds<ref></ref>,Proprietary,Desktop,Windows
PathSolutions<ref></ref>,Proprietary,Desktop,Windows
Spiceworks<ref></ref>,Proprietary<ref></ref>,Desktop,Windows
The Dude<ref></ref>,Proprietary<ref></ref>,Desktop,Windows  Linux
WhatsUp Gold<ref></ref>,Proprietary,Desktop,Windows
SmartHawk<ref></ref>,Proprietary,Desktop,Windows  Linux
[added],[added],[added],[added]
