Name,Navigation,Audio out,Speaker,Screen size (in),Screen type,Resolution (px),Frame rate (Hz),Color depth (bpp),Video out,Video battery life (hr),Audio battery life (hr)
Archos 105<ref></ref>,D-pad  7 buttons,Headphone jack,[empty],1.8,OLED,160 × 128,[empty],18,[empty],[empty],18
Archos 405<ref></ref><ref></ref>,D-pad  6 two-way buttons,Headphone jack  dock connector,[empty],3.5,TFT LCD,320 × 240,[empty],[empty],[empty],5,16
Archos 5<ref></ref>,Touchscreen,Headphone jack,[empty],4.8,TFT LCD,800 × 480,[empty],[empty],[empty],7,22
Archos 605 WiFi/GPS<ref></ref><ref></ref>,D-pad/touchscreen  6 two-way buttons,Headphone jack,[empty],4.3,TFT LCD,800 × 480,[empty],[empty],[empty],5.5,15
Archos 705 WiFi<ref></ref>,D-pad/touchscreen  6 two-way buttons,Headphone jack,[empty],7,TFT LCD,800 × 480,[empty],18,[empty],5.5,15
Cowon A3<ref></ref>,D-pad  4 buttons,Headphone jack,[empty],4,TFT LCD,800 × 480,[empty],[empty],[empty],[empty],18
Cowon D2<ref></ref>,Touchscreen  3 buttons,Headphone jack,[empty],2.5,TFT LCD,320 × 240,[empty],[empty],[empty],[empty],[empty]
Cowon Q5W<ref></ref>,Touchscreen,Headphone jack,[empty],5,TFT LCD,800 × 480,[empty],[empty],[empty],7,13
Gigabeat T-Series<ref></ref>,D-pad  4 buttons,Headphone jack,[empty],2.4,TFT LCD,320 × 240,[empty],18,[empty],5,16
GP2X F-200<ref></ref>,8-way d-pad/touchscreen  9 buttons,Headphone jack,[empty],3.5,TFT LCD,320 × 240,[empty],16,[empty],3.5,6
iPod classic<ref></ref>,Click wheel  1 center  4 embedded buttons,Headphone jack  dock connector,Clicker only,2.5,TFT LCD,320 × 240,[empty],16,[empty],6,36
iPod nano 5G<ref name="Apple Inc"></ref>,Click wheel  1 center  4 embedded buttons,Headphone jack  dock connector,[empty],2.25,TFT LCD,320 × 240,[empty],16,[empty],4,24
iPod nano 6G<ref name="Apple Inc"/>,Multi-touch screen,Headphone jack  dock connector,[empty],1.54,TFT LCD,240 × 240,[empty],[empty],[empty],No video support,24
iPod touch<ref></ref>,Multi-touch screen  3 buttons,Headphone jack  dock connector,(ex. 1st gen.),3.5,TFT LCD,480 × 320 (4th gen. 960 × 640),[empty],[empty],[empty],6,40 (4th gen)  30 (3rd gen)  36 (2nd gen)  24 (1st gen)
iriver clix 2G<ref></ref>,D-pad  4 embedded buttons,Headphone jack,[empty],2.2,AMOLED,320 × 240,[empty],18,[empty],5,25
PSP Slim/Lite<ref></ref>,Analog stick/d-pad  15 buttons,Headphone jack  dock connector,[empty],4.3,TFT LCD,480 × 272,[empty],[empty],[empty],4,10
Samsung Galaxy Player 4.0 & 5.0<ref name="Samsung1"></ref>,Touchscreen  3 buttons,Headphone jack,[empty],4.0/5.0,TFT LCD,800 × 480,[empty],[empty],[empty],5 (4.0)  8 (5.0),36 (4.0)  60 (5.0)
Samsung T10<ref name="Samsung"></ref>,D-pad  5 buttons,Headphone jack,[empty],2,TFT LCD,320 × 240,[empty],18,[empty],4,30
Samsung P2<ref name="Samsung"/>,Touchscreen  4 buttons,Headphone jack,[empty],3,TFT LCD,480 × 272,[empty],18,[empty],5,35
Sansa Fuze<ref></ref>,Scroll ring  6 buttons,Headphone jack  dock connector,[empty],1.9,TFT LCD,224 × 176,20,16,[empty],5,24
Sansa Fuze+<ref></ref>,Touchpad  3 buttons,Headphone jack,[empty],2.4,TFT LCD,320 × 240,30,16,[empty],5,24
Sansa View<ref></ref><ref></ref>,Scroll wheel  3 buttons,Headphone jack  dock connector,[empty],2.4,TFT LCD,320 × 240,[empty],16,[empty],7,35
Walkman NWZ-A810 series<ref></ref>,D-pad  7 buttons,Headphone jack,[empty],2,TFT LCD,320 × 240,[empty],16,[empty],[empty],33
ZEN<ref></ref>,D-pad  9 buttons,Headphone jack,[empty],2.5,TFT LCD,320 × 240,[empty],[empty],[empty],5,30
ZEN Vision W<ref></ref>,D-pad  12 buttons,Headphone jack  dock connector,[empty],4.3,TFT LCD,480 × 272,[empty],18,[empty],4.5,13
Zune 4/8/16<ref></ref><ref></ref><ref></ref>,Zune pad  2 buttons,Headphone jack  dock connector,[empty],1.8,TFT LCD,320 × 240,[empty],16,[empty],4,23 (Wi-Fi)/24
Zune 80/120<ref></ref><ref></ref>,Zune pad  2 buttons,Headphone jack  dock connector,[empty],3.2,TFT LCD,320 × 240,[empty],16,[empty],4,29 (Wi-Fi)/30
Zune HD<ref></ref>,Touchscreen  3 buttons,Headphone jack  dock connector,[empty],3.3,OLED,480 × 272,[empty],Unknown,[empty],[empty],33 (Wi-Fi off)
ZVUE 260<ref></ref>,D-pad  9 buttons,Headphone jack,[empty],2.5,AM TFT LCD,234 × 160,[empty],[empty],[empty],[empty],6
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
