Origin,Spanish,Portuguese,Meaning
,a'rc'illa,a'rg'ila,'clay'
,''blando'',''brando'','soft'
,que's'o,que'ij'o,'cheese'
→ o'c'l'u,o'j'o,o'lh'o,'eye'
→ ho'm'n'e,ho'mbr'e,ho'm'em,'man'
→ ''tre'm'l'are'',''te'mbl'ar'',''tre'm'er'','to tremble'
