Distribution,Compile time buffer checks,Mandatory access control,Software executable space protection,grsecurity,RSBAC
Alpine Linux,<ref></ref>,,,,
BLAG,,,,,
Debian/Ubuntu,,,optional,,
Dragora GNU/Linux-Libre,,,,,
dyne:bolic,,,,,
Fedora,,<ref></ref>,<ref></ref>,,
Gentoo,,,optional,,
gNewSense,,,,,
Guix System Distribution,,,,,
LibreCMC,,,,,
Mandriva,,,,,
Musix GNU+Linux,,,,,
Parabola GNU/Linux-libre,,</ref>}},,,
SUSE Linux,,<ref></ref>,<ref></ref>,,
Solus,,,,,
Tor-ramdisk,,,,,
Trisquel,,,,,
Ututo,,,,,
