Application,LoD Generation,Texture Baking
Automatic,Normal Map,AO Map
Tangent Space Normal Map,Non-directional (Traditional),Directional
Maya (Turtle renderer),[empty],[empty]
Enlighten,[empty],[empty]
Blender,[empty],[empty]
[added],[added],[added]
