Language,Major purpose,Based on,Markup type,Structural markup,Presentational markup<ref>Many markup languages have purposely avoided presentational markups. For markup languages based on SGML and XML  CSS is used as a presentation layer.</ref>
AsciiDoc,Multi-purpose,[empty],Tag,[empty],[empty]
Computable Document Format,Interactive technical documents  infographics  blogs<ref>Uses and Examples of the Computable Document Format (CDF)  Wolfram.com.</ref>,Wolfram Language,Tag,[empty],[empty]
Darwin Information Typing Architecture (DITA),Technical documents,XML,Tag,[empty],<ref>Includes basic presentational content and SVG and MathML markup  officially supported in version 1.3. In select XML editors and management systems  the images and content can be viewed as rendered  through CSS mostly.</ref>
DocBook,Technical documents,SGML / XML,Tag,[empty],<ref>Presentational content is supported through SVG and MathML markup. In select XML editors  the images can be viewed as rendered.</ref>
Encoded Archival Description (EAD),Finding aids,XML,Tag,[empty],[empty]
Extensible HyperText Markup Language (XHTML),Hypertext documents,XML,Tag,[empty],<ref>Presentational markup is deprecated as of XHTML 1.0 and no longer allowed as of XHTML 1.1</ref>
HyperText Markup Language (HTML),Hypertext documents,SGML,Tag,[empty],<ref>Presentational markup is deprecated as of HTML 4.0</ref>
Lilypond,Music notation,[empty],Control code,[empty],[empty]
Maker Interchange Format (MIF),Technical documents,[empty],Tag,[empty],[empty]
Markdown,Formatted Technical documents  Hypertext documents  E-mail,Text E-mail conventions,Tag,[empty],[empty]
Math Markup Language (MathML),Mathematical documents,XML,Tag,[empty],<ref>MathML comes in two mark-up syntaxes: a semantic and a presentational.</ref>
The Music Encoding Initiative (MEI),Music notation,XML,Tag,[empty],[empty]
Music Extensible Markup Language (MusicXML),Music notation,XML,Tag,[empty],[empty]
Office Open XML (OOXML),Multi-purpose,XML / ZIP,Tag,[empty],[empty]
OpenDocument Format (ODF),Multi-purpose,XML / ZIP,Tag,[empty],[empty]
Open Mathematical Document (OMDoc),Mathematical documents,XML,Tag,<ref>uses Content MathML  OpenMath or other formats for formulae</ref>,<ref>Exact presentation of symbols can be specified in OMDoc; these specifications are used when transforming OMDoc to a presentational format.</ref>
Org-mode,Multi-purpose (notes  project management  publishing  literate programming),Text outliner,Tag,[empty],[empty]
reStructuredText,Technical and Multi-purpose documents<ref>http://docutils.sourceforge.net/docs/ref/rst/introduction.html#goals</ref>,Structured Text and Setext,Tag,[empty],<ref>uses CSS</ref>
Rich Text Format (RTF),Formatted documents,TeX,Pattern parsing,[empty],[empty]
Scalable Vector Graphics (SVG),2D Vector graphics,XML,Tag,[empty],[empty]
Script,Multi-purpose,RUNOFF,Control code,[empty],[empty]
TeX,Academic documents,[empty],Control code,[empty],[empty]
Texinfo,Technical documents,TeX  Scribe,Control code,[empty],[empty]
Textile,Hypertext documents,AsciiDoc (based on some similarities and dates of release),Tag,[empty],[empty]
Text Encoding Initiative (TEI),Academic  linguistic  literary and technical documents,SGML / XML,Tag,[empty],[empty]
troff (typesetter runoff)  groff (GNU runoff),Technical documents,RUNOFF,Control code,[empty],[empty]
Wireless Markup Language (WML),Hypertext documents,XML,Tag,[empty],[empty]
Language,Major purpose,Based on,Markup type,Structural markup,Presentational markup
[added],[added],[added],[added],[added],[added]
