IRC daemon,Modularity,Remote includes,IPv6,Client SSL,SSL linking,Zip linking,Hostmasking  cloaking,Services integration (built-in services),LDAP authentication,IRCX support,SASL support,SASL EXTERNAL support,Server protocol
Bahamut,,,,,,,,,,,,,
bIRCd,,,,,,,,,,,,,
beware ircd,,,,,,,,,,,,,
Charybdis,,,,,,,,,,,,,
ConferenceRoom,,,,,,,,,,,,,
FoxEye ircd,,,,,,,,,,,,,
InspIRCd,<ref></ref>,,,,,,,,,,,,</ref>}}
IRCD,,,,,,,,,,,,,
IRCD-Hybrid,,,,,,,,,,,,,
ircd-ratbox,,,,,,,,,,,,,
ircu,,,,,,,,,,,,,
ithildin,,,,,,,,,,,,,
kike,,,,,,,,,,,,,
miniircd,,,,,,,,,,,,,
Nefarious IRCu,,,,,,,,,,,,,
ngIRCd,,,,,,,,,,,,,
OfficeIRC Server,,,,,,,,,,,,,
PleXusIRCd,,,,,,,,,,,,,
pureIRCd,,,,,,,,,,,,,
RockIRCd,,,,,,,,,,,,,
RubIRCd,,,,,,,,,,,,,
ShadowIRCd,,,,,,,,,,,,,
snircd,,,,,,,,,,,,,
solid-ircd,,,,,,,,,,,,,
Synchronet IRCd,,,,,,,,,,,,,
UnrealIRCd,,,,,,,,,,,,,
WeIRCd,,,,,,,,,,,,,
