IDE,Developer,Latest stable release,Platform,License
Aptana Studio with integrated RadRails plugin (Eclipse),Aptana  Inc.,3.5.0 / December 27  2013,Windows  Linux  macOS  FreeBSD  JVM  Solaris,[empty]
Eclipse DLTK Ruby Plugin,Eclipse Foundation,5.0.0 / June 6  2013,x86,[empty]
eric,Detlev Offenbach,6.1.4 / April 9  2016,Cross-platform,[empty]
Komodo IDE / Edit,ActiveState,9.0.1 / April 19  2015,Cross-platform,[empty]
NetBeans,Thomas Enebo (JRuby co-lead),9.0 / <ref></ref>,Cross-platform,[empty]
RubyMine (IntelliJ IDEA),JetBrains,2017.1 / Apr 27  2017<ref></ref>,Windows  Linux  macOS  FreeBSD  OpenBSD  Solaris,[empty]
SlickEdit,SlickEdit,October 2016,Windows  Linux  macOS  AIX  Solaris  HP-UX,[empty]
