,Windows,macOS,Linux,iOS,BSD,Unix,AmigaOS,Other
Ability Photopaint,,,,,,,,
ACD Canvas,,,,,,,,
ACDSee,,,,,,,,
Acorn Image Editor,,,,,,,,
Adobe Fireworks*,,,,,,,,
Adobe Photoshop,,,,(iPad),,,,
Adobe Photoshop Lightroom,,,,,,,,
Affinity Photo,,,,(iPad),,,,
Aperture,,,,,,,,
Autodesk SketchBook Pro,,,,,,,,
Artipic,,,,,,,,
ArtRage,,,,,,,,
Artweaver,,,,,,,,
Bibble*,,,,,,,,
Bloom Image Editor,,,,,,,,
Brush Strokes Image Editor,,,,,,,,
Capture One,,,,,,,,
Chasys Draw IES,,,,,,,,
CinePaint,,,,,,,,
CodedColor PhotoStudio Pro,,,,,,,,
Corel PaintShop Pro,,,,,,,,
Corel Painter,,,,,,,,
Corel Photo-Paint,,,,,,,,
darktable,,,,,,,,
Deluxe Paint*,,,,,,,,<ref name="os_1">Deluxe Paint runs on only AmigaOS  Atari ST  and DOS.</ref>
DigiKam,,,,,,,,
Erdas Imagine,,,,,,,,
Fatpaint,,,,,,,,
Fotografix,,,,,,,,
F-Spot,,,,,,,,
G'MIC,,,,,,,,
GIMP,,,,,,,,
GimPhoto,,,,,,,,
GIMPshop,,,,,,,,
GNU Paint,,,,,,,,
GrafX2,,,,,,,,
GraphicConverter,,,,,,,,
GraphicsMagick,,,,,,,,
gThumb,,,,,,,,
HDR PhotoStudio,,,,,,,,
Helicon Filter,,,,,,,,
ImageJ,,,,,,,,
ImageMagick,,,,,,,,
iPhoto*,,,,,,,,
IrfanView,,,,,,,,
Iridient Developer,,,,,,,,
Kolourpaint,,,,,,,,
Krita,,,,,,,,
LazPaint,,,,,,,,
LiveQuartz,,,,,,,,
MacPaint*,,,,,,,,<ref name="os_3">MacPaint was developed for the classic Mac OS.</ref>
Microsoft Office Picture Manager*,,,,,,,,
Microsoft Paint,,,,,,,,
Microsoft Photo Editor*,,,,,,,,
MyPaint,,,,,,,,
OpenCanvas,,,,,,,,
Paint.NET,,,,,,,,
PC Paintbrush*,,,,,,,,<ref name="os_5">PC Paintbrush runs on only DOS.</ref>
Pencil2D,,,,,,,,
Phatch,,,,,,,,
Photofinish*,,,,,,,,
Photogenics,,,,,,,,
PhotoLine,,,,,,,,
PhotoPerfect*,,,,,,,,
Photos,,,,,,,,
Photo Raster,,,,,,,,
Picasa*,,,,,,,,
PicMaster,,,,,,,,
Pinta,,,,,,,,
PixBuilder Photo Editor,,,,,,,,
Pixelmator,,,,,,,,
Pixen,,,,,,,,
Pixia,,,,,,,,
PMview,,,,,,,,
Project Dogwaffle,,,,,,,,
QFX,,,,,,,,
Rawstudio,,,,,,,,
RawTherapee,,,,,,,,
Seashore,,,,,,,,
Serif PhotoPlus,,,,,,,,
Shotwell,,,,,,,,
Tux Paint,,,,,,,,
TVPaint,,,,,,,,
UFRaw,,,,,,,,
Ulead PhotoImpact*,,,,,,,,
Ultimate Paint*,,,,,,,,
WinImages,,,,,,,,
Xara Photo & Graphic Designer,,,,,,,,
XnView,,,,,,,,
XPaint,,,,,,,,
Zoner Photo Studio,,,,,,,,
