Name,Interface,Type of Client,Downloading headers XOVER,PAR,NZB,unZip or unRAR,Integrated Search Service (retention / $$$/yr),IPv6,SSL/TLS,Audio Video Streaming,Price,Platform,License,Other
Arachne,GUI,Traditional Newsreader,,,,,,,,,Free,DOS  Unix-like,,
BinTube,GUI,Binary Grabber,,,,,(3200 Days / Free),,,,$59.95 / Free with subscription,Microsoft Windows,,Streams media while downloading; Free with Usenet Service
Forté Agent,GUI,Combination,,,,,,,,,$29,Microsoft Windows,,Includes 3 month newsgroup service trial; Shareware
Gnus,Text-based,Traditional Newsreader,,,,,,,,,Free,Cross-platform,,Runs in Emacs; also does Email
GrabIt,GUI,Binary Grabber,,,,,,,,Free (searching extra),Microsoft Windows,,Usenet Search Service
KNode,GUI,Traditional Newsreader,,,,,,,,,Free,Unix-like,,KDE
Lotus Notes,GUI,Traditional Newsreader,,,,,,,,,Varies,Microsoft Windows  Unix-like  Mac OS X,,
Name,Interface,Type of Client,Downloading headers XOVER,PAR,NZB,unZip unRAR,Integrated Search Service (retention / $$$/yr),IPv6,SSL/TLS,Audio Video Streaming,Price,Platform,License,Other
Lynx,Text-based,Traditional Newsreader,,,,,,,,,Free,Cross-platform,,Limited USENET support
Mozilla Mail & Newsgroups,GUI,Traditional Newsreader,,,,,,,,,Free,Cross-platform,,Replaced by SeaMonkey Mail & Newsgroups
Mozilla Thunderbird,GUI,Traditional Newsreader,,,,,,,,,Free,Cross-platform,,Plugin support
Newsbin Pro,GUI,Binary Grabber,,,,,,,,$20,Microsoft Windows,,Shareware
NewsLeecher,GUI,Combination,,,,,,,,Varies,Microsoft Windows,,Shareware
NewsMan Pro,GUI,Combination,,,,,,,,,$29.95,Microsoft Windows,,
Novell GroupWise,GUI,Traditional Newsreader,,,,,,,,,Varies,Microsoft Windows  Unix-like,,
Opera Mail,GUI,Traditional Newsreader,,,,,,,,,Free,Cross-platform,,Part of Opera up to version 12.17
Outlook Express,GUI,Traditional Newsreader,,,,,,,,,,Microsoft Windows,,Part of Microsoft Windows (up to Windows Server 2003)
Pan,GUI,Combination,,,,,,,,,Free,Unix-like  Microsoft Windows,,Gtk+
Name,Interface,Type of Client,Downloading headers XOVER,PAR,NZB,unZip & unRAR,Integrated Search Service (retention / $$$/yr),IPv6,SSL/TLS,Audio Video Streaming,Price,Platform,License,Other
Seamonkey Mail & Newsgroups,GUI,Traditional Newsreader,,,,,,,,,Free,Cross-platform,,Replaced Mozilla Mail & Newsgroups
slrn,text-based,Traditional Newsreader,,,,,,Free,Cross-platform,,Highly extensible using S-Lang scripts (macros)
Sylpheed,GUI,Traditional Newsreader,,,,,,,,,Free,Cross-platform,,Gtk+
tin,text-based,Traditional Newsreader,,,,,,,,,Free,Unix-like,,Free Software
Unison,GUI,Combination,,,,,,,,Free,Mac OS X,,Development has ceased. Free but unsupported.
Usenet Explorer,GUI,Combination,,,,,,,,$35,Microsoft Windows,,Shareware
Windows Live Mail,GUI,Traditional Newsreader,,,,,,,,,Free,Microsoft Windows,,
Windows Mail,GUI,Traditional Newsreader,,,,,,,,,,Microsoft Windows,,Part of Windows Vista and Windows Server 2008
Xnews,GUI,Combination,,,(Can create NBZs),,,,,,Free,Microsoft Windows,,
XPN,GUI,Traditional Newsreader,,,,,,,,,Free,Cross-platform,,
Name,Interface,Type of Client,Downloading headers XOVER,PAR,NZB,unZip unRAR,Integrated Search Service (retention / $$$/yr),IPv6,SSL/TLS,Audio Video Streaming,Price,Platform,License,Other
