Name,Hard drive: partition size max,Native support: File systems,Native support: floppy capacities 3.5",Native support: floppy capacities 5.25",Native support: floppy capacities 8.0",Integrated disk compression utility,Native support: long file names
MS-DOS&nbsp;6.21,2 GB,FAT12  FAT16  FAT16B,720 KB; 1.44 MB  2.88 MB,160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,n/a,[empty],[empty]
MS-DOS&nbsp;6.22,2 GB,FAT12  FAT16  FAT16B,720 KB; 1.44 MB  2.88 MB,160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,n/a,[empty],[empty]
MS-DOS&nbsp;7.0 (Windows&nbsp;95A),2 GB,FAT12  FAT16  FAT16B,720 KB; 1.44 MB  2.88 MB,160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,n/a,[empty],[empty]
MS-DOS&nbsp;7.1 (Windows 95B/OSR2  Windows 95C/OSR2.5  Windows 98  and Windows 98SE),124.55 GB with FAT32<ref name="msdos7">As stated at http://support.microsoft.com/default.aspx?scid=KB;EN-US;Q184006& Microsoft's KB article 184006  the limit of 124.55 GB for FAT32 partition size is a mainly a limit of Windows 95/98's 16-bit SCANDISK utility. Other DOS versions supporting FAT32 may allow a larger partition size closer to the theoretical 2 TB/16 TB maximum suggested by FAT32's specifications. Windows 2000 and XP can mount and use a FAT32 partition larger than 32 GB  but they cannot natively create one  which according to Microsoft is by design.</ref>,FAT12  FAT16  FAT16B  FAT32,720 KB; 1.44 MB  2.88 MB,160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,n/a,[empty],[empty]
MS-DOS&nbsp;8.0 (Windows&nbsp;Me and later Windows versions)<ref name="msdos8"/>,124.55 GB with FAT32<ref name="msdos7"/>,FAT12  FAT16  FAT16B  FAT32,720 KB; 1.44 MB  2.88 MB,160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,n/a,[empty],[empty]
PC&nbsp;DOS&nbsp;1.0,n/a,FAT12,n/a,160 KB,n/a,[empty],[empty]
PC&nbsp;DOS&nbsp;1.1,n/a,FAT12,n/a,160 KB; 320 KB (double-sided),n/a,[empty],[empty]
PC&nbsp;DOS&nbsp;2.0-2.1,16 MB (32 MB with third-party FORMAT)<ref name="Mueller_1995_Upgrading_and_Repairing_PCs"/>,FAT12,n/a,160 KB; 180 KB; 320 KB; 360 KB,n/a,[empty],[empty]
PC&nbsp;DOS&nbsp;3.0,32 MB,FAT12  FAT16,n/a,160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,n/a,[empty],[empty]
PC&nbsp;DOS&nbsp;3.1,32 MB,FAT12  FAT16,n/a,160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,n/a,[empty],[empty]
PC&nbsp;DOS&nbsp;3.2,32 MB,FAT12  FAT16,720 KB,160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,n/a,[empty],[empty]
PC&nbsp;DOS&nbsp;3.3,32 MB,FAT12  FAT16,720 KB; 1.44 MB,160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,n/a,[empty],[empty]
IBM&nbsp;DOS&nbsp;4.0,2 GB,FAT12  FAT16  FAT16B,720 KB; 1.44 MB,160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,n/a,[empty],[empty]
IBM&nbsp;DOS&nbsp;5.0,2 GB,FAT12  FAT16  FAT16B,720 KB  1.44 MB  2.88 MB,160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,n/a,[empty],[empty]
PC&nbsp;DOS&nbsp;6.1 (early version),2 GB,FAT12  FAT16  FAT16B,720 KB; 1.44 MB  2.88 MB,160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,n/a,[empty],[empty]
PC&nbsp;DOS&nbsp;6.1 with Compression / PC&nbsp;DOS&nbsp;6.3,2 GB,FAT12  FAT16  FAT16B,720 KB; 1.44 MB  2.88 MB,160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,n/a,[empty],[empty]
PC&nbsp;DOS&nbsp;7.0 / PC&nbsp;DOS&nbsp;2000,2 GB,FAT12  FAT16  FAT16B,720 KB; 1.44 MB  1.86 MB (XDF)  2.88 MB,160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB  1.54 MB (XDF),n/a,[empty],[empty]
PC&nbsp;DOS&nbsp;7.10,?,FAT12  FAT16  FAT16B  FAT32,720 KB; 1.44 MB  1.86 MB (XDF)  2.88 MB,160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB  1.54 MB (XDF),n/a,[empty],[empty]
DOS&nbsp;Plus&nbsp;1.1,32 MB,FAT12  FAT16  CP/M-86,315 KB; 720 KB; CP/M 315 KB; CP/M 720 KB; MSX-DOS 360 KB; MSX-DOS 720 KB,160 KB; 180 KB; 320 KB; 360 KB; 800 KB; 1.2 MB; CP/M 160 KB; CP/M 320 KB,n/a,[empty],[empty]
DOS&nbsp;Plus&nbsp;1.2-2.1,32 MB,FAT12  FAT16  CP/M-86,Apricot 315 KB;<ref name="DOSPLUS_Apricot">DOS Plus 2.1e/g versions for the Apricot ACT series and for the T.R.A.N. Yasmin Turbo support a non-standard single-sided 315 KB FAT12 format.</ref> (720 KB<ref name="DOSPLUS_720KB">DOS Plus DISK.CMD versions for the Amstrad PC1512 and T.R.A.N. Yasmin Turbo and the BBC Master 512 support variants of 720 KB FAT12 formats including the original MS-DOS  and PC DOS format  however known versions of DOS Plus itself don't make use of them.</ref>),160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB; Acorn 640 KB; Acorn 800 KB;<ref name="DOSPLUS_Master512">DOS Plus for the BBC Master 512 supports two non-standard FAT12 formats with 640 KB and 800 KB.</ref> CP/M 320 KB,n/a,[empty],[empty]
DR&nbsp;DOS&nbsp;3.31-3.35,2 GB,FAT12  FAT16  FAT16B,720 KB; 1.44 MB,160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,n/a,[empty],[empty]
DR&nbsp;DOS&nbsp;3.40-3.41,2 GB,FAT12  FAT16  FAT16B,720 KB; 1.44 MB,160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,(250.25 KB<ref name="DRDOS_243KB">The DR&nbsp;DOS 3.41-8.0 BIOS (DRBIOS.SYS aka IBMBIO.COM) has a profile for an undocumented 250.25 KB (aka "243 KB") logical format with a non-standard media descriptor of E5h. DR DOS 3.31 does not support this format. The format is similar  but not identical to the two 250.25 KB formats with FAT IDs FDh and FEh supported by MS-DOS 1.25/2.x.</ref>),[empty],[empty]
DR&nbsp;DOS&nbsp;5.0,2 GB,FAT12  FAT16  FAT16B,720 KB; 1.44 MB,160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,(250.25 KB<ref name="DRDOS_243KB"/>),[empty],[empty]
DR&nbsp;DOS&nbsp;6.0,2 GB,FAT12  FAT16  FAT16B,720 KB; 1.44 MB  2.88 MB,160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,(250.25 KB<ref name="DRDOS_243KB"/>),[empty],[empty]
PalmDOS&nbsp;1.0,2 GB,FAT12  FAT16  FAT16B,720 KB; 1.44 MB  2.88 MB,160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,(250.25 KB<ref name="DRDOS_243KB"/>),[empty],[empty]
Novell&nbsp;DOS&nbsp;7,2 GB,FAT12  FAT16  FAT16B,720 KB; 1.44 MB  2.88 MB,160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,(250.25 KB<ref name="DRDOS_243KB"/>),[empty],[empty]
OpenDOS&nbsp;7.01,2 GB,FAT12  FAT16  FAT16B,720 KB; 1.44 MB  2.88 MB,160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,(250.25 KB<ref name="DRDOS_243KB"/>),[empty],[empty]
DR-OpenDOS&nbsp;7.02,2 GB,FAT12  FAT16  FAT16B,720 KB; 1.44 MB  2.88 MB,160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,(250.25 KB<ref name="DRDOS_243KB"/>),[empty],[empty]
DR-DOS&nbsp;7.02,2 GB,FAT12  FAT16  FAT16B  (FAT32 in FDISK only),720 KB; 1.44 MB  2.88 MB,160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,(250.25 KB<ref name="DRDOS_243KB"/>),[empty],, COMMAND.COM and LONGNAME only
DR-DOS&nbsp;7.03,2 GB,FAT12  FAT16  FAT16B  (FAT32 in FDISK only),720 KB; 1.44 MB  2.88 MB,160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,(250.25 KB<ref name="DRDOS_243KB"/>),[empty],, COMMAND.COM and LONGNAME only
DR-DOS&nbsp;7.04-7.05,?,FAT12  FAT16  FAT16B  FAT32 (non-bootable),720 KB; 1.44 MB  2.88 MB,160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,(250.25 KB<ref name="DRDOS_243KB"/>),[empty],, COMMAND.COM and LONGNAME only
DR-DOS&nbsp;7.06-7.07,?,FAT12  FAT16  FAT16B  FAT32 (bootable),720 KB; 1.44 MB  2.88 MB,160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,(250.25 KB<ref name="DRDOS_243KB"/>),[empty],, COMMAND.COM and LONGNAME only
DR-DOS 8.0,?,FAT12  FAT16  FAT16B  FAT32,720 KB; 1.44 MB  2.88 MB,160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,(250.25 KB<ref name="DRDOS_243KB"/>),[empty],, COMMAND.COM only
DR-DOS 8.1,?,FAT12  FAT16  FAT16B  FAT32,720 KB; 1.44 MB  2.88 MB,360 KB; 1.2 MB,n/a,[empty],[empty]
FreeDOS&nbsp;1.0,2 TB,FAT12  FAT16  FAT16B  FAT32,720 KB; 1.44 MB  2.88 MB,360 KB; 1.2 MB,n/a,[empty],[empty]
FreeDOS&nbsp;1.1-1.2,2 TB,FAT12  FAT16  FAT16B  FAT32,720 KB; 1.44 MB  2.88 MB,360 KB; 1.2 MB,n/a,[empty],[empty]
PTS-DOS 32,?,FAT12  FAT16  FAT16B  FAT32,720 KB; 1.44 MB  2.88 MB,360 KB; 1.2 MB,n/a,[empty],[empty]
PTS-DOS 2000,?,FAT12  FAT16  FAT16B  FAT32,720 KB; 1.44 MB  2.88 MB,360 KB; 1.2 MB,n/a,[empty],[empty]
PTS-DOS 2000 PRO,?,FAT12  FAT16  FAT16B  FAT32,720 KB; 1.44 MB  2.88 MB,360 KB; 1.2 MB,n/a,[empty],[empty]
Datalight ROM-DOS,?,FAT12  FAT16  FAT16B  FAT32,720 KB; 1.44 MB  2.88 MB,360 KB; 1.2 MB,n/a,[empty],[empty]
[added],[added],[added],[added],[added],[added],[added],[added]
DIP&nbsp;DOS,n/a,FAT12,n/a,n/a,n/a,[empty],[empty]
