Kernel,Acorn ADFS,Amiga FFS,BeFS,BFS,cramfs,EFS,ext2,ext3,ext4,F2FS,FAT,FreeVxFS,HFS,HFS+,HPFS,ISO 9660,JFFS,JFFS2,JFS,MINIX fs,NSS,NTFS,OCFS,QNX4 FS,System V FS,UDF,UFS,XFS,ZFS,ReiserFS,Reiser4,Btrfs,HAMMER,Tux3,exFAT,ReFS
DragonFly BSD kernel,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
FreeBSD kernel,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Linux kernel,<ref name="experi">experimental and dangerous write support</ref>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],<ref name="experi"/> <ref>write support currently broken</ref>,[empty],[empty],<ref name="experi"/>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],</ref>)}},[empty]
MINIX 3 kernel,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
NetWare kernel,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ReactOS kernel,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],<ref name="reactos-fs">Version Status - ReactOS</ref>,[empty],[empty],[empty],[empty],<ref name="reactos-fs"/>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],<ref name="reactos-fs"/>,[empty],[empty],[empty],[empty],[empty],<ref name="win-btrfs">additional driver needed - see https://github.com/maharmstone/btrfs</ref>,[empty],[empty],[empty],[empty]
Solaris kernel,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Windows NT kernel,[empty],[empty],[empty],[empty],[empty],[empty],<ref name=windowsextdriver>additional driver needed - see http://www.fs-driver.org/</ref>,<ref name=winext2fsd>additional driver needed - see http://www.ext2fsd.com</ref>,<ref name="winext2fsd"/>,[empty],[empty],[empty],<ref name=windowsext>additional driver needed</ref>,<ref name="windowsext"/>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],<ref name="win-btrfs"/>,[empty],[empty],[empty],[empty]
XNU,[empty],[empty],[empty],[empty],[empty],[empty],<ref name="Macext">Third party module required. Mac OS X Kernel Module available here</ref>,<ref name="Macext"/>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
