Name,Parsing algorithm,Input grammar notation,Boolean grammar capabilities,Development platform,License
LuZc<ref></ref><ref></ref>,delta chain,modular,Conjunctive  not complimentary,POSIX,proprietary
bnf2xml,recursive descent (is a text filter output is xml),simple bnf grammar (input matching)  output is xml,?,beta  and not a full-fledged EBNF parser,GNU GPLv2
