Name,Operating system,Vendor,Online storage,Remote desktop,Prior file versions  revision control,Comments,Portable,Detect rename,Detect move,Scheduling,Full duplex transfer
Microsoft ActiveSync,Windows,Microsoft,[empty],[empty],?,Syncs mobile devices,[empty],[empty],[empty],[empty],[added]
Resilio Sync,Windows  OS X  Linux  FreeBSD  Android  iOS,Resilio  Inc.,[empty],[empty],(previous versions moved to archive folder),Distributed peer-to-peer sync,[empty],[empty],[empty],<ref></ref>,[added]
Briefcase (part of Windows),Windows,Microsoft,[empty],[empty],?,[empty],[empty],[empty],[empty],[empty],[added]
Cobian Backup,Windows,CobianSoft,[empty],[empty],, trash folder,Backup software with folder synchronization feature; remote management; Shadow Copy,[empty],[empty],[empty],[empty],[added]
Windows Mobile Device Center,Windows,Microsoft,[empty],[empty],?,Syncs mobile devices; successor to Microsoft ActiveSync,[empty],[empty],[empty],[empty],[added]
Microsoft Sync Framework,Windows,Microsoft,?,[empty],?,Syncs files  data  services; a framework  not a tool,[empty],[empty],[empty],-,[added]
Microsoft SyncToy,Windows,Microsoft,[empty],[empty],, recycle bin only,Sync local folders,[empty],[empty],[empty],via OS,[added]
Windows Live Mesh (discontinued 13 February 2013),Windows (Vista and greater)  Windows Mobile  OSX,Microsoft,[empty],[empty],, recycle bin only,Sync folders  online storage,[empty],[empty],?,, syncs whenever it is online,[added]
OmniGroup OmniPresence,OSX  OmniGroup software for iOS  open source framework available,OmniGroup,[empty],[empty],, via local Time Machine backup only,Sync local folders via OmniSync or WebDAV server but not to the server itself,[empty],?,?,, syncs whenever it's online and not paused,[added]
Windows Live Sync (discontinued 31 March 2011),Windows  OSX,Microsoft,, browsing only,[empty],, recycle bin only,Sync folders  browse devices from website  remote access; was Microsoft FolderShare  20.000 file limit,[empty],[empty],[empty],, syncs whenever it's online,?
