IDE,Developer,Latest stable release,Platform,License
Eclipse DLTK,[empty],5.0,Windows  Linux  macOS  FreeBSD  JVM  Solaris,[empty]
Komodo IDE / Edit,ActiveState,9.0.1,Cross-platform,[empty]
SlickEdit,SlickEdit,October 2016 v.21,Windows  Linux  macOS  AIX  Solaris  HP-UX,[empty]
