Features:,Modularity: supports third-party modules to extend functionality?,IPS : Intrusion prevention system,Open-Source License?,supports IPv6 ?,Class: Home / Professional,Operating Systems on which it runs?
Untangle,[empty],[empty],[empty],[empty],Both,Linux (built on Debian)
Vyatta,[empty],[empty],[empty],[empty],Professional,Vyatta OS (built on Debian)
WinGate,[empty],[empty],[empty],[empty],Professional,Windows 2000  Windows XP  Windows 2003  Windows Vista  Windows 2008. 32bit and 64bit.
pfSense,[empty],, with Snort and Suricata (modules),[empty],[empty],Both,FreeBSD/NanoBSD-based appliance
IPFire,[empty],, with Snort and Guardian,[empty],(manual setup needed),Both,Linux (based on Linux From Scratch)
