Format,Languages
string (string'Last - n + 1 .. string'Last),Ada
Right(string n),VB
RIGHT$(string n),BASIC
right(string n),FreeBASIC  Ingres  Pick Basic
strcpy(string2  string+''n'') (n must not be greater than the length of string),C
string.Substring(string.Length()-''n''),C#
string[len(string)-''n'':],Go
string.substring(string.length()-''n''),Java
string.slice(-''n''),JavaScript<ref></ref>
right(string n « padchar»),Rexx  Erlang
substr(string -''n''),Perl 5  PHP
substr(string *-''n'') <br /> string.substr(*-''n''),Perl 6
string[-''n'':],Cobra  Python
string[n],Pick Basic
(string-take-right string n),Scheme (SRFI 13)
string[-''n''..-1],Ruby  Ya
string[$-''n'' .. $],D<ref>if n is larger than length of string  then in Debug mode ArrayRangeException is thrown  and unspecified behaviour in Release mode</ref>
String.sub string (String.length string - n) n,OCaml<ref name="ReferenceA"/>
string.sub(string  -''n'') <br /> (string):sub(-''n''),Lua
string last: n,Smalltalk (Squeak  Pharo)
StringTake[string  -''n''],Mathematica<ref name="ReferenceB"/>
string (1:n),COBOL
¯n↑''string''.,APL
