Esperanto,IPA,Novial
A  a,[empty],A  a
B  b,[empty],B  b
C  c,[empty],Ts  ts; S  s
Ĉ  ĉ,[empty],Ch  ch; Sh  sh
D  d,[empty],D  d
E  e,or,E  e
F  f,[empty],F  f
G  g,[empty],G  g
Ĝ  ĝ,[empty],J  j
H  h,[empty],H  h
Ĥ  ĥ,[empty],K  k
I  i,[empty],I  i
J  j,[empty],Y  y
Ĵ  ĵ,[empty],J  j
K  k,[empty],K  k
L  l,[empty],L  l
M  m,[empty],M  m
N  n,[empty],N  n
O  o,or,O  o
P  p,[empty],P  p
Kv kv,[empty],Qu  qu
R  r,[empty],R  r
S  s,[empty],S  s; Z  z
Ŝ  ŝ,[empty],Sh  sh; Ch  ch
T  t,[empty],T  t
U  u,[empty],U  u
Ŭ  ŭ,[empty],U  u (after a vowel)
V  v,[empty],V  v; W  w
Ks  ks; kz,[empty],X  x
Z  z,[empty],Z  z; S  s
