Project,Data Compression,Image Quality,Color Quality,File Transfer,Clipboard Transfer,Chat,Relay,HTTP Tunnel,Proxy
2X Software,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
