Vehicle,Origin,Manufacturer,Mass to … (kg),Launches,Date of flight
LEO,GTO,Other,First,Last,[added]
Antares 110–130,[empty],Orbital,<ref name=gunter-antares />,[empty],to SSO
Ariane 1,[empty],Aérospatiale,[empty],<ref name="GSP-OldAriane"></ref>,[empty]
Ariane 2,[empty],Aérospatiale,[empty],<ref name="GSP-OldAriane"/>,[empty]
Ariane 3,[empty],Aérospatiale,[empty],<ref name="GSP-OldAriane"/>,[empty]
Ariane 4 40,[empty],Aérospatiale,<ref name="GSP-OldAriane"/>,[empty],to SSO
Ariane 4 42L,[empty],Aérospatiale,<ref name="GSP-OldAriane"/>,[empty],to SSO
Ariane 4 42P,[empty],Aérospatiale,<ref name="GSP-OldAriane"/>,[empty],to SSO
Ariane 4 44L,[empty],Aérospatiale,<ref name="GSP-OldAriane"/>,[empty],to SSO
Ariane 4 44LP,[empty],Aérospatiale,<ref name="GSP-OldAriane"/>,[empty],to SSO
Ariane 4 44P,[empty],Aérospatiale,<ref name="GSP-OldAriane"/>,[empty],to SSO
Ariane 5 G,[empty],EADS Astrium,<ref name="gsp-ariane5"/>,<ref name="gsp-ariane5"/>,[empty]
Ariane 5 G+,[empty],EADS Astrium,[empty],<ref name="gsp-ariane5"/>,[empty]
Ariane 5 GS,[empty],EADS Astrium,<ref></ref>,<ref name="gsp-ariane5"/>,[empty]
Ariane 5 ES,[empty],EADS Astrium,<ref name="ariane5-manual" />,<ref name="gsp-ariane5"/>,[empty]
ASLV,[empty],ISRO<ref></ref>,<ref name="gsp-aslv" />,[empty],[empty]
Athena I,[empty],Lockheed Martin,<ref></ref>,[empty],[empty]
Athena II,[empty],Lockheed Martin,<ref>NASA  Athena Mission Planner’s Guide 26 August 2012</ref>,[empty],[empty]
Atlas-Centaur,[empty],Lockheed,<ref></ref>,<ref></ref>,[empty]
Atlas G,[empty],Lockheed,<ref name="GSP-AC"/>,[empty],1.179 to HCO<ref name="GSP-AC"/>
Atlas H/MSD,[empty],Lockheed,<ref>astronautix.com  Atlas H </ref>,[empty],[empty]
Atlas I,[empty],Lockheed Martin,<ref name="GSP-AC"/>,<ref name="GSP-AC"/>,[empty]
