FilesAnywhere,[empty],[empty],[empty],, via Storage Made Easy client,, via Storage Made Easy client,<ref></ref>,<ref>Privacy Policy : Support Center</ref>,?,[empty],[empty],[empty],[empty],FilesAnywhere,<ref></ref>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Provider,Win.,Linux,Mac,Android,iOS,Encrypted storage,Zero knowledge,Secure Key Management,Limited MB plan,Unlimited MB plan,$/MB plan,Unlimited BW,Provider,Cloud hosted Net Drive,Sync,Autodetect changes,Public file hosting,physical media restore,Server location,Free online storage (non-trial),Maximum per-file size,External hard drive support,Hybrid Option,Green Hosting
Google Drive,[empty],, no provider-sanctioned Linux support.<ref>Google Drive Is Coming to Linux</ref><ref>Teresa Wu  community manager for Google drive apps promised linux client in Apr 2012</ref><ref>Google Drive for Linux Screenshots leak after years of promises</ref>,[empty],[empty],[empty],[empty],[empty],?,[empty],(Enterprise Only) <ref>G Suite Business</ref>,[empty],[empty],Google Drive,[empty],[empty],[empty],[empty],[empty],, Worldwide,[empty],[empty],[empty],[empty],: 34%<ref>Google Green - Renewable energy</ref>
IASO Backup,[empty],[empty],[empty],[empty],<ref name="Iaso.com"></ref>,<ref name="Iaso.com"/>,[empty],?,[empty],[empty],[empty],[empty],IASO Backup,[empty],[empty],[empty],[empty],[empty],, Worldwide,[empty],[empty],[empty],[empty],[empty]
iCloud,[empty],, via Storage Made Easy client,[empty],, via Storage Made Easy client,[empty],[empty],[empty],?,[empty],[empty],[empty],[empty],iCloud,[empty],[empty],[empty],[empty],[empty],unknown,<ref name="support.apple.com"></ref>,[empty],[empty],[empty],, 94%<ref name=greenpeace_green_internet></ref>
iDrive,[empty],, but you have to manually run perl scripts.<ref></ref>,[empty],[empty],[empty],<ref></ref>,[empty],[empty],[empty],[empty],<ref></ref>,[empty],iDrive,[empty],[empty],[empty],[empty],[empty],unknown,[empty],[empty],[empty],[empty],[empty]
Infrascale,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Infrascale,[empty],[empty],[empty],[empty],[empty],,          ,[empty],[empty],[empty],[empty],[empty]
Iperius Online Storage,[empty],[empty],[empty],[empty],[empty],<ref name="Iperius Online Storage"></ref>,<ref name="Iperius Online Storage"/>,?,[empty],[empty],[empty],[empty],Iperius Online Storage,[empty],[empty],[empty],[empty],Iperius Online Storage,[empty],[empty],[empty],[empty],[empty],[empty]
Intronis,[empty],[empty],[empty],[empty],[empty],[empty],[empty],configurable,[empty],<ref></ref>,[empty],[empty],Intronis,[empty],<ref></ref>,[empty],[empty],<ref></ref>, ,[empty],[empty],[empty],[empty],[empty]
Jumpshare,[empty],[empty],[empty],[empty],[empty],<ref></ref>,[empty],[empty],[empty],[empty],[empty],<ref></ref>,Jumpshare,[empty],[empty],[empty],[empty],[empty], ,[empty],[empty],[empty],[empty],[empty]
Provider,Win.,Linux,Mac,Android,iOS,Encrypted storage,Zero knowledge,Secure Key Management,Limited MB plan,Unlimited MB plan,$/MB plan,Unlimited BW,Provider,Cloud hosted Net Drive,Sync,Autodetect changes,Public file hosting,Physical media restore,Server location,Free online storage (non-trial),Maximum per-file size,External hard drive support,Hybrid Option,Green Hosting
Jungle Disk,[empty],[empty],[empty],[empty],[empty],<ref name="jungledisk1">Encryption and Account Keys : Jungle Disk Support</ref>,<ref name="jungledisk1"/>,[empty],[empty],[empty],[empty],[empty],Jungle Disk,<ref></ref>,[empty],[empty],[empty],[empty], ,[empty],[empty],[empty],[empty],, Amazon AWS<ref name=greenpeace_green_internet /><ref></ref> or Rackspace Cloud Files.
KeepVault,[empty],[empty],[empty],[empty],[empty],<ref>| SysTools Office 365 Backup</ref>,<ref>http://forums.proxure.com/viewtopic.php?t=2141  http://forums.proxure.com/viewtopic.php?t=1389</ref>,?,[empty],[empty],[empty],[empty],KeepVault,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Livedrive,[empty],[empty],[empty],[empty],[empty],[empty],[empty],?,[empty],[empty],[empty],[empty],Livedrive,(paid-only)<ref></ref>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
MediaFire,[empty],[empty],[empty],[empty],[empty],[empty],[empty],?,[empty],[empty],[empty],[empty],MediaFire,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Mega,[empty],[empty],[empty],[empty],[empty],[empty],[empty],<ref>We provide for user controlled encryption (UCE) where you  the user  control the keys.</ref>,[empty],[empty],[empty],[empty],Mega Ltd.,[empty],[empty],, using MEGAsync client,[empty],[empty], ,[empty],[empty],[empty],[empty],[empty]
Memopal,[empty],[empty],[empty],[empty],[empty],<ref>Security – Memopal </ref>,<ref>http://www.memopal.com/en/supportfaq/i-have-lost-my-password—can-i-retrieve-it.htm</ref>,?,[empty],[empty],[empty],[empty],Memopal,[empty],[empty],[empty],[empty],[empty],,   Asia,[empty],[empty],[empty],[empty],[empty]
MiMedia,[empty],[empty],[empty],[empty],[empty],<ref></ref>,[empty],?,[empty],[empty],[empty],[empty],MiMedia,<ref></ref>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
