ILBM,Optional run-length encoding,[empty],1  2  4  8  16  32  64  64 EHB  128  256 (8-bit)  4.096 (HAM6 pseudo 12-bit)  4.096 pure 12-bit  262  144 (HAM8 pseudo 18-bit)  and 24-bit,[empty],[empty],[empty],[empty],[empty],,<br />Palette-shifting,[empty],[empty],[empty],[empty]
IMA,Lossy and lossless original mutiresolution analysis transformation,[empty],8-bit  16-bit integer  32-bit floating-point,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
JPEG,Lossy (and partly lossless)  DCT  RLE  and Huffman predictive nearest neighbor,[empty],8-bit (greyscale)  12-bit  and 24-bit,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],(see unofficial JPEG-HDR)
JPEG 2000,Lossy and lossless (DWT),[empty],8 and 16 (greyscale) with possibly color up to 48-bit,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
KRA,None,[empty],grayscale  RGB  XYZ (8bpc  16bpc  float16bpc  float32bpc)  CMYK  L*a*b* and YCbCr (8bpc  16bpc  float32bpc),[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ORA,Lossless,[empty],1  2  4  8  16  24  32  48  and 64,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
PAM,None,[empty],Up to 16,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
PCX,None  RLE,[empty],1  2  4  8  24 and 32,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
PGF,Lossy and lossless (DWT),[empty],grayscale: 1  8  16  31; RGB: 12  16  24  32  and 48,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
PICT,None  RLE  and QuickTime,[empty],1  2  4  8  16  24  and 32,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],?,[empty]
PLD,Optional ZIP  JPEG,[empty],1  4  8  16  24  32  48  and 64,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
PNG,Lossless and DEFLATE,[empty],bitmap (1bpc)  indexed (8bpc)  grayscale and RGB (8bpc  16bpc),[empty],; indexed  grayscale and RGB,[empty],, Adam7 algorithm,[empty],(but see MNG and APNG),[empty],[empty],, via chunks,, see discussion
PPM,None,[empty],Up to 16,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
PSD and PSB,None and RLE,[empty],bitmap (1bpc)  duotone  indexed (8bpc)  grayscale  RGB  CMYK  Lab and multichannel (8bpc  16bpc  32bpc),[empty],; indexed  grayscale  RGB  CMYK and Lab,[empty],[empty],[empty],[empty],[empty],[empty],?,[empty]
PSP,None,[empty],1  2  8  16  24  32  and 48,[empty],; 8b and 16b per-pixel alpha channel,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
SVG,None and lossless gzip,<ref>Supports raster data embedding with the use of Base64</ref>,RGB (8bpc),[empty],[empty],[empty],[empty],(1.2 draft)<ref>Multiple pages (SVG 1.2)</ref>,(SMIL/SVG),[empty],<ref>SVG 1.1 color profile descriptions</ref>,, XML based,[empty]
TGA,None  RLE  and other,[empty],1  2  4  8  16  24  and 32,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
TIFF,None  LZW  RLE  ZIP  and other,[empty],1  2  4  8  16  24  and 32,(1–8 bit modes),[empty],[empty],, for JPEG compression,[empty],[empty],[empty],[empty],, via tags,, TIFF float
WebP,Lossy and lossless,[empty],YUV420P (12bpp)  YUVA420P (20bpp) and RGB (8bpc),[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
XAML,None,[empty],32 and 64,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
XCF,None and lossless (gzip  bzip2 and xz),[empty],indexed (8bpc)  grayscale and RGB (8bpc  16bpc  float16bpc  32bpc  float32bpc  float64bpc),[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Format,Compression algorithm,Raster/<br />vector,Color depth,Indexed color,Transparency,Metadata,Interlacing,Multi-page,Animation,Layers,Color management,Extendable,HDR format
