Feature,Windows XP,Windows Vista,Windows 7,Windows 8,Windows 10
Windows Defender,,,,,
Windows Firewall,,,,,
Windows Security Center,,,,,
BitLocker Drive Encryption,,,,,
Parental controls,,,,,
User Account Control,,,,,
Data Execution Prevention,,,,,
