Format,Filename extension,Created by,Introduced in,Based on,Integrity check,Recovery record,Encryption supported,Unicode filenames,Modification date resolution
Debian package (deb),.deb,Debian,1994 Debian 0.91,ar  tar  and gzip,,,,,1 s
Macintosh Installer,.pkg  .mpkg (metapackage),NeXT,1989 NeXTSTEP 1.0,pax and gzip,,,,,
RPM Package Manager (RPM),.rpm,Red Hat,1995 Red Hat Linux 1.0,cpio and gzip,,,,,1 s
Slackware Package,.tgz,Patrick Volkerding,1993 Slackware 1.0,tar and gzip,,,,,
Windows Installer (also MSI),.msi,Microsoft,2000 Windows 2000,OLE Structured Storage  Cabinet and SQL,PKCS7 Authenticode Signature,,,,2 s
Java Archive (JAR),.jar,Sun Microsystems,1997 JDK 1.1,PKZIP,,,,,
Google Chrome extension package,.crx,Google,2009 (Chrome 4.0),Zip,,,<ref></ref>,,
Pacman,.pkg.tar.xz  .pkg.tar (no compression),Judd Vinet,2001 (before ArchLinux 0.1),tar and xz (formerly gzip),,,,,1 s
