Model,Launch,Code name,Bus interface,Core clock (MHz),Memory clock (MHz),Core config1,Fillrate,Memory
MOperations/s,MPixels/s,MTexels/s,MVertices/s,Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),[added]
GeForce2 Go 100,February 6  2001,NV11M,AGP 4×,125,332,2:0:4:2,250,250
GeForce2 Go,November 11  2000,NV11M,AGP 4×,143,166<br />332,2:0:4:2,286,286
GeForce2 Go 200,February 6  2001,NV11M,AGP 4×,143,332,2:0:4:2,286,286
