Name,Windows,macOS,Linux,BSD
ACDSee,[empty],[empty],[empty],[empty]
Adobe Bridge,[empty],[empty],[empty],[empty]
Adobe Photoshop Lightroom,[empty],[empty],[empty],[empty]
Aperture,[empty],[empty],[empty],[empty]
CDisplay,[empty],[empty],[empty],[empty]
Comix,[empty],[empty],[empty],[empty]
digiKam,[empty],[empty],[empty],[empty]
Eye of GNOME (aka Image Viewer),[empty],[empty],[empty],[empty]
FastPictureViewer,[empty],[empty],[empty],[empty]
FastStone Image Viewer,[empty],[empty],[empty],[empty]
F-Spot,[empty],[empty],[empty],[empty]
Geeqie,[empty],[empty],[empty],[empty]
Gonvisor,[empty],[empty],[empty],[empty]
GraphicConverter,[empty],[empty],[empty],[empty]
gThumb,[empty],[empty],[empty],[empty]
Gwenview,[empty],[empty],[empty],[empty]
iPhoto,[empty],[empty],[empty],[empty]
IrfanView,[empty],[empty],[empty],[empty]
KSquirrel,[empty],[empty],[empty],[empty]
KPhotoAlbum,[empty],[empty],[empty],[empty]
Lphoto,[empty],[empty],[empty],[empty]
Microsoft Photos,[empty],[empty],[empty],[empty]
nomacs,[empty],[empty],[empty],[empty]
Phase One Media Pro,[empty],[empty],[empty],[empty]
Paint.NET,[empty],[empty],[empty],[empty]
Apple Photos,[empty],[empty],[empty],[empty]
Picasa,[empty],[empty],[empty],[empty]
Preview,[empty],[empty],[empty],[empty]
Shotwell,[empty],[empty],[empty],[empty]
Simple Comic,[empty],[empty],[empty],[empty]
STDU Viewer,[empty],[empty],[empty],[empty]
Windows Photo Gallery,[empty],[empty],[empty],[empty]
Windows Photo Viewer,[empty],[empty],[empty],[empty]
XnView,[empty],[empty],[empty],[empty]
XnViewMP,[empty],[empty],[empty],[empty]
Xv,[empty],[empty],[empty],[empty]
Zoner Photo Studio,[empty],[empty],[empty],[empty]
