Application,Command line interface,Graphical user interface,Text user interface
Alcohol 120%,[empty],[empty],[empty]
CDBurnerXP,[empty],[empty],[empty]
cdrtools,[empty],[empty],[empty]
DeepBurner,[empty],[empty],[empty]
ExpressBurn,[empty],[empty],[empty]
ImgBurn,[empty],[empty],[empty]
InfraRecorder,[empty],[empty],[empty]
K3b,[empty],[empty],[empty]
Nero Burning ROM,[empty],[empty],[empty]
UltraISO,[empty],[empty],[empty]
X-CD-Roast,[empty],[empty],[empty]
Application,Command line interface,Graphical user interface,Text user interface
