Company,Software,On-demand<br /> scan,On-access<br /> scan,Boot-time<br /> scans,Heuristics,CloudAV,Firewall,IDS,IPS,Sandbox,Email Security,AntiSpam,Web protection,Macro protection,Live<br />Update,Support,Settings Import/ Export,installer/ updater MIMA safe,License,Price,First release,Country of origin,Original author/s,Notes
AhnLab,AhnLab V3 Internet Security,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],?,[empty],[empty],[empty],[empty],[empty],[empty],?,[empty],[empty],[empty],1988,South Korea,Dr. Ahn Cheol-Soo,[added]
Avast,Avast Free Antivirus,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],1988,Czech Republic,Pavel Baudiš and Eduard Kučera,[added],[added]
Avast,Avast Pro Antivirus,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],1997,Czech Republic,Pavel Baudiš and Eduard Kučera,[added],[added]
Avast,Avast Internet Security,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],2009,Czech Republic,Pavel Baudiš and Eduard Kučera,[added],[added]
Avast,Avast Premier,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],2012,Czech Republic,Pavel Baudiš and Eduard Kučera,[added],[added]
AVG Technologies (avast),AVG Antivirus FREE,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],?,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],1992,Czech Republic,Jan Gritzbach and Tomáš Hofer,[added],[added]
AVG Technologies (avast),AVG Antivirus,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],?,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],2006,Czech Republic,Jan Gritzbach and Tomáš Hofer,[added],[added]
AVG Technologies (avast),AVG Internet Security,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],?,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],2008,Czech Republic,Jan Gritzbach and Tomáš Hofer,[added],[added]
Avira,Avira Antivirus FREE (formerly AntiVir),[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],?,[empty],[empty],[empty],[empty],[empty],[empty],?,[empty],[empty],[empty],1988,Germany,Tjark Auerbach,[added]
Avira,Avira Internet Security,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],?,[empty],[empty],[empty],[empty],[empty],[empty],?,[empty],[empty],[empty],2002,Germany,Tjark Auerbach,[added]
Bitdefender,Bitdefender Antivirus Free,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],?,[empty],[empty],[empty],[empty],[empty],[empty],?,[empty],[empty],[empty],2013,Romania,[empty],[added]
Bitdefender,Bitdefender Antivirus Plus,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],?,[empty],[empty],[empty],1996,Romania,[empty],[added]
Bitdefender,Bitdefender Internet Security,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],?,<ref name=":0">uses http</ref>,[empty],[empty],2008,Romania,[empty],[added]
Check Point,ZoneAlarm PRO Antivirus + Firewall,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],?,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],2002,Israel,[empty],Third-party antivirus engine (Kaspersky) <ref></ref>,[added]
Check Point,ZoneAlarm Extreme Security,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],?,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],2002,United States,[empty],[added],[added]
