Can:,NAT44 (static  dynamic w/o ports  PAT),NAT64  NPTv6,IDS (Intrusion Detection System),VPN (Virtual Private Network),AV (Anti-Virus),Sniffer,Profile selection
Untangle,[empty],[empty],[empty],(IPsec and OpenVPN),(clamav commtouch (optional) ),(tcpdump),[empty]
Vyatta,(three NAT types),[empty],(integrated Snort),(IPsec and OpenVPN),(with clamav Sophos Antivirus (optional) ),(with wireshark or tcpdump),[empty]
WinGate,[empty],[empty],(with NetPatrol),(proprietary),(Kaspersky Labs),(filtered capturing to pcap format),[empty]
pfSense,[empty],(NPt),(with Snort),(OpenVPN  IPsec  L2TP  IKEv2  Tinc  PPTP),(with squid and clamav),(tcpdump),[empty]
IPFire,[empty],[empty],(with Snort),(OpenVPN  IPsec  IKEv2),(with squid and clamav),(tcpdump),[empty]
