System,Documentation integration/generation  reporting,Test planning integration,Customizable workflow,Unicode support,Custom fields,SLA<ref name="ReferenceSLA">System supports service level agreement management</ref>,Plugin API<ref name="ReferenceAPI">System has a plugin API to allow integration with other products</ref>,Multiple projects,Full-text search,Indexed full-text search,Indexed file search
Apache Bloodhound,, integrated wiki,[empty],[empty],[empty],[empty],[empty],[empty],(as of 0.6),[empty],<ref></ref> uses Whoosh,[empty]
Assembla Tickets,, Wiki syntax  email notification  linking to Subversion commits  document manager  charts  reports  notifications,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Axosoft,, Team Wiki  Burndown  GitHub and TortoiseSVN integration  dashboards  custom reports for OnPremises  e-mail notifications and alerts  customer portal  RSS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Bugzilla,, reporting: integrated reports and charts  scheduled reports by mail,<ref></ref>,[empty],[empty],[empty],[empty],[empty],[empty],<ref></ref>,When using MySQL MyISAM<ref></ref> or Oracle Database<ref></ref> but not PostgreSQL<ref></ref>,[empty]
Debbugs,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Faveo Helpdesk,, Integrated Social Media  In-built Knowledge Base and Reporting,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
FogBugz,, Integrated wiki,[empty],[empty],[empty],[empty],[empty],<ref></ref>,[empty],<ref></ref>,<ref></ref>,<ref></ref>
Fossil,, Integrated Wiki in addition to integrated versioned project documentation via web ui.,[empty],[empty],[empty],[empty],[empty],[empty],<ref></ref>,<ref></ref>,[empty],[empty]
FusionForge,, integrated Mediawiki  discussion forums  news blogs  email integration  export to CSV  reporting graphs,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
GLPI,, Contains a proprietary knowledge base of sorts,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
GNATS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
HP Quality Center,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
IBM Rational ClearQuest,, reporting: integrated charts and interface to Crystal Reports,[empty],[empty],[empty],[empty],[empty],[empty],[empty],<ref></ref>,uses Solr and Lucene,[empty]
IBM Rational Team Concert,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Jira,, Dashboard with reporting widgets (Open Social) Excel  Word  customizable charts  Confluence (Enterprise wiki),<ref></ref>,[empty],[empty],[empty],[empty],<ref></ref>,[empty],<ref name="JIRA - Performing Text Searches" ></ref>,Uses Lucene<ref name="JIRA - Performing Text Searches" />,<ref></ref>
Liberum Help Desk,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
MantisBT,, Integration of MediaWiki  DokuWiki  XWiki,[empty],[empty],[empty],[empty],[empty],[empty],[empty],<ref></ref>,[empty],<ref></ref>
Microsoft Dynamics CRM,, reporting: integrated charts and reports  export to Excel  Mail Merge,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
org-mode,, org-mode has built-in export to HTML  Latex  .md and literate programming capabilities for multiple languages in a single document,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
OTRS,, Advanced reporting  configurable dashboards,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Phabricator,, integrated wiki and limited burn down charts,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Pivotal Tracker,, real time collaborative story backlog  integrated reports  email notification,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Redmine,, integrated wiki  discussion forums  news blogs  email integration  calendars  Gantt Charts  RSS  export to PDF  export to Excel/CSV,<ref>Hudson</ref>,[empty],[empty],[empty],<ref>Commercial plugin available (Redmine Reporting)</ref>,[empty],[empty],<ref></ref>,, when using PostgreSQL<ref>Free plugin available (Redmine PostgreSQL Search)</ref>,<ref></ref>
Request Tracker,, MediaWiki<ref></ref>,[empty],[empty],[empty],[empty],<ref>Needs a third-party extension (RT-Extension-SLA)</ref>,<ref>RT can be extended through Perl extensions  see for example RTX:: modules on MetaCPAN.org</ref>,[empty],<ref name="Best Practical: What's New in 4: Fast full-text searching"></ref>,<ref name="Best Practical: What's New in 4: Fast full-text searching" />,[empty]
Roundup,, wiki can be integrated or linked,[empty],[empty],[empty],[empty],[empty],<ref></ref>,[empty],<ref></ref>,with issues<ref></ref>,[empty]
StarTeam,[empty],<ref>Borland</ref>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
