Program,Operating systems,License,Protocols  based on  compatible with,Encryption,Other abilities,Key and target markets,Latest release
3CX Phone System,Windows  Linux,,SIP,,Voice and video IP telephony and conferencing  voice mail and instant messaging,< 50.000 users,15.5 ;
AS5300,Linux  Windows Server 2003,,SIP  UNIStim  MLPP,,Voice and Video IP telephony  Voice and Video conferencing  voice mail and instant messaging,1.000 - 25.000 users,1.0;
AskoziaPBX,no additional OS required (Linux based),,SIP  H.323  IAX  SCCP,,ISDN  analog  Voicemail  Conferencing  MOH  ACD  IVR  Call forwarding  Call recording,SMEs up to 50 users,2.2.2;
Asterisk PBX,Linux  BSD  macOS  Solaris,,SIP  H.323  IAX  MGCP  VOFR  XMPP  Google Talk  TDM,,VoIP Gateway  voicemail  basic accounting (can be expanded by interface with ODBC-compliant database)  billing  conferencing  hot-desking  IVR trees with conditional logic  call queuing  automated call distribution,Enthusiasts  developers  enterprise users (capacity dependent on server design  scalable across multiple servers),
Brekeke SIP Server,Linux  Windows,,SIP,,SIP Registrar  SIP Proxy,SIP Service Providers  VoIP service providers  Healthcare  Security,3.8.3.4;
Brekeke PBX,Linux  Windows,,SIP,,Voice and Video IP telephony  Voice and Video conferencing  and voice mail,Hosted service providers  Mid-large enterprise,3.8.4.4;
CallMax Softswitch,Linux,,SIP  H.323,,Integrated billing  IP PBX Platform  Calling card platform  Callshop module  Customer Web Portal  Retail SMS Platform.,SIP Service Providers  Residential & Business VoIP providers  Corporate Clients  Other Class 5 softswitch users,3.6;
CommuniGate Pro,Linux  BSD  macOS  Windows  Solaris  HPUX  AIX,,SIP  XIMSS Protocol  XMPP  WebRTC,,SIP Registrar/Proxy  Authentication  Diameter  RADIUS  ENUM  many others,Carriers  enterprises  MNOs  ISPs  SaaS providers,6.1.11;
Dial-Gate Softswitch PBX,Linux  Windows,,SIP,,Billing server  real-time account and line monitoring  web-based user interface,Softswitch users  service providers,4.3;
Dial-Office IP-PBX,Linux  Windows,,SIP,,Unified Communications  Conferencing  remote worker support and voice mail,Small businesses  Mid-large enterprises,4.1;
Elastix,Linux,,SIP  IAX  H323  XMPP,,Unified communication server that also supports chat  mail and fax.,Capacity dependent on server design  scalable across multiple servers,2.5.0 (stable)  3.0.0 (stable)  4.0.0 (stable);
FreeSWITCH,Linux  BSD  macOS  Solaris  Windows,,SIP  NAT-PMP  STUN  SIMPLE  XMPP  Google Talk (Jingle)  IAX  H.323  MRCP  RSS  Skype,,Recording  Voicemail  Conferencing  RADIUS  ENUM  IM Proxy  Streaming  Media gateway  Soft-PBX  IVR (modular),Large soft-switch users  home PBX users  softphone users,
FreePBX,Linux  BSD  Solaris,,SIP  IAX  H323  XMPP,,Complete PABX Service  based on Asterisk and PHP 5.6; provides a full replacement for a legacy non-VoIP phone system; under current and active development,Scales from Raspberry PI (3 users) to multiple parallel clusters (10K+ simultaneous calls),14.0;
GNU Gatekeeper,Linux  FreeBSD  macOS  Windows XP-2000-Vista-7,,H.323,,H.460.18 firewall traversal  routing  accounting,video conferencing  VoIP carriers large and small,3.7;
