[empty],Windows,macOS,Linux,BSD,Unix,DOS,Android
ALGLIB,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
GNU Scientific Library,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ILNumerics,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
IMSL Numerical Libraries,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Math.NET Numerics,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
NAG Numerical Library,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
NMath,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
SciPy (Python packages),[empty],[empty],[empty],[empty],[empty],[empty],[empty]
