+ National GDPs and States GDPs  2nd quarter 2015<ref name="IMF Groups"/>
Rank,Nation,GDP<br />
,World<ref name="IMF Groups"/>,73.170.986
,,17.947.000
9999999,''''<ref name="IMF Groups" />,16.220.370
1,,11.007.721
2,,4.123.258
3,,3.357.614
4,,2.849.345
5,,2.424.033
6,,2.421.560
7,,2.090.706
8,,1.815.757
9,,1.772.589
10,,1.648.007
11,,1.552.386
12,,1.376.868
13,,1.324.734
14,,1.223.887
15,,1.221.785
16,,1.144.334
17,,1.124.406
18,,883.735
19,,858.953
20,,764.817
21,,738.419
22,,733.642
23,,677.582
24,,664.603
25,,653.219
26,,592.899
27,,585.623
28,,573.947
29,,523.581
30,,503.745
31,,496.180
32,,492.618
33,,490.207
34,,476.919
35,,474.893
36,,473.606
37,,462.252
38,,454.687
39,,446.096
40,,395.288
41,,389.482
42,,387.611
43,,374.124
44,,360.969
45,,345.483
46,,330.782
47,,330.765
48,,326.538
49,,316.535
50,,312.957
51,,309.931
52,,307.125
53,,296.971
54,,296.219
55,,296.073
56,,295.445
57,,294.951
58,,293.243
59,,292.734
60,,291.965
61,,287.207
62,,269.971
63,,259.661
64,,252.965
65,,240.222
66,,239.572
67,,238.031
68,,229.671
69,,225.661
70,,207.303
71,,205.715
72,,199.077
73,,196.887
74,,195.320
75,,192.874
76,,192.141
77,,191.454
78,,185.395
79,,181.858
80,,181.089
81,,177.315
82,,173.212
83,,172.278
84,,172.248
85,,169.460
86,,168.089
87,,146.697
88,,146.219
89,,140.608
90,,122.492
91,,121.798
92,,120.682
93,,120.636
94,,112.208
95,,106.880
96,,103.142
97,,102.979
98,,98.828
99,,90.810
100,,90.524
101,,86.629
102,,83.612
103,,82.095
104,,79.595
105,,77.460
106,,71.632
107,,71.123
108,,67.492
109,,66.983
110,,66.150
111,,65.683
112,,65.202
113,,63.911
114,,61.629
115,,61.405
116,,58.491
117,,57.423
118,,56.323
119,,55.137
120,,54.609
121,,54.256
122,,54.048
123,,53.794
124,,53.686
125,,52.898
126,,52.132
127,,51.168
128,,48.957
129,,48.850
130,,46.178
131,,45.799
132,,45.415
133,,44.904
134,,43.581
135,,42.768
136,,41.267
137,,40.170
138,,38.873
139,,38.300
140,,37.620
142,,36.852
143,,36.513
144,,36.039
145,,35.680
146,,33.210
147,,31.172
148,,30.411
149,,29.750
150,,28.478
151,,28.077
152,,27.048
153,,25.766
154,,24.740
155,,24.553
156,,22.704
157,,21.889
158,,21.356
159,,20.295
160,,19.330
161,,19.204
162,,18.155
163,,16.718
164,,16.090
165,,15.794
166,,14.965
167,,14.350
168,,14.269
169,,14.007
170,,13.924
171,,13.665
172,,13.066
173,,12.860
174,,12.832
175,,12.503
176,,12.222
177,,11.786
178,,11.735
179,,11.608
180,,11.543
181,,11.009
182,,10.894
183,,10.571
184,,9.922
185,,9.801
186,,9.737
187,,9.403
188,,8.878
189,,8.705
190,,8.618
191,,8.471
192,,8.267
193,,7.816
194,,7.151
195,,6.696
196,,6.650
197,,6.416
198,,6.414
199,,6.355
200,,5.192
201,,4.782
202,,4.752
203,,4.666
204,,4.412
205,,4.167
206,,4.165
207,,4.039
208,,4.028
209,,3.164
210,,3.130
211,,2.881
212,,2.627
213,,2.620
214,,2.214
215,,2.035
216,,2.032
217,,1.763
218,,1.727
219,,1.605
220,,1.595
221,,1.566
222,,1.416
223,,1.375
224,,1.287
225,,1.147
226,,1.057
227,,954
228,,896
229,,893
230,,838
231,,765
232,,757
233,,589
234,,497
235,,414
236,,318
237,,318
238,,287
239,,183
240,,162
241,,33
